node	dir	logFC	fdr	AbslogFC	Log2IvFdr
FABP7	down	-2.75296712813202	0.0498389249067639	2.75296712813202	4.32658324196676
hsa-miR-224-5p	down	-3.21486123443522	0.0191707739768991	3.21486123443522	5.70494760602409
hsa-miR-32-5p	up	2.92363205600458	0.0114655286045331	2.92363205600458	6.44655331958707
ERBB2	down	-1.86446692696938	0.0332349610633672	1.86446692696938	4.9111545260768
ESR1	up	3.64815276755629	1.05674705168292e-06	3.64815276755629	19.8519384820592
GATA3	up	1.61441838666324	0.0413684935517373	1.61441838666324	4.59532376749317
hsa-miR-342-3p	up	2.16224468317726	0.0191707739768991	2.16224468317726	5.70494760602409
SERPINA3	up	2.66340270555106	0.0362118558290036	2.66340270555106	4.78739407408486
hsa-miR-190b	up	2.54022870535845	0.0368509395340544	2.54022870535845	4.76215478771783
ACE2	down	-1.91226697665055	0.039324948915368	1.91226697665055	4.66841129824929
AFF3	up	1.61756641331813	0.00876586734219001	1.61756641331813	6.83388743858674
ALPK3	down	-1.17523003271457	0.0362118558290036	1.17523003271457	4.78739407408486
CD82	down	-1.41303434910322	0.0118871671693235	1.41303434910322	6.39445124237037
DSC2	down	-1.59068397613906	0.0117161327398444	1.59068397613906	6.41535974610251
GREB1	up	1.7499592020606	0.0328234522089624	1.7499592020606	4.92912920738777
ID4	down	-1.49723528952384	0.0332349610633672	1.49723528952384	4.9111545260768
ITGA8	down	-1.04928089650657	0.039086652004953	1.04928089650657	4.67718017492776
KRT4	down	-1.12557623344837	0.0139588945262144	1.12557623344837	6.16267149784744
NCS1	down	-1.0946721033719	0.0166757651593314	1.0946721033719	5.9061032294895
NFIB	down	-1.55607222356363	0.0039990956008707	1.55607222356363	7.96611051457844
PLCB4	down	-1.56074110073135	0.0270027702084419	1.56074110073135	5.21074876912933
S100A8	down	-3.52586121803706	0.0177228683535893	3.52586121803706	5.8182440743349
SOX11	down	-3.21460942063287	0.000590445842474212	3.21460942063287	10.7259076423268
