node	dir	logFC	fdr	AbslogFC	Log2IvFdr
hsa-miR-874-3p	down	-3.07943687719574	8.81982501399786e-06	3.07943687719574	16.7908185364373
hsa-miR-520f-3p	down	-9.48008780325755	8.18451715043443e-11	9.48008780325755	33.5083117370459
AIM2	up	1.40194096947068	0.00188939208084466	1.40194096947068	9.04786216822174
hsa-miR-206	down	-1.14122601649526	0.0448859858515588	1.14122601649526	4.4775911078005
CYTIP	up	1.44121722561169	0.00303980196057733	1.44121722561169	8.36180694776942
CD79B	up	1.00804838586753	0.0297983171385624	1.00804838586753	5.06862533306064
hsa-miR-103a-3p	down	-3.35069678149035	1.34436001595048e-05	3.35069678149035	16.1827209347769
CD19	up	2.40168509415101	0.00070356196373004	2.40168509415101	10.4730348902321
hsa-miR-136-5p	down	-2.31365745924243	6.20146844688987e-08	2.31365745924243	23.9428148871149
hsa-miR-299-5p	down	-1.83699644938534	0.0159817196485335	1.83699644938534	5.96743353777095
S1PR4	up	1.67275662753577	0.000619822504735688	1.67275662753577	10.6558572417903
CCL21	up	1.43075326315072	0.0483128574181585	1.43075326315072	4.37144900765062
CXCL13	up	2.87181181416536	0.000754528324868007	2.87181181416536	10.3721373192487
CXCR6	up	1.1516434543097	0.0110065042640036	1.1516434543097	6.50549985727486
CXCR5	up	1.26639563491093	0.00687592970680264	1.26639563491093	7.1842294885613
CCL5	up	1.4934479397018	0.00506774710417861	1.4934479397018	7.62443975320839
CCR7	up	1.94989783008129	0.00175911697349956	1.94989783008129	9.15093286582219
C3	up	1.32979191839762	0.00529636717469501	1.32979191839762	7.56078114311561
CCR5	up	1.03001645278962	0.0250791698963566	1.03001645278962	5.31736659307932
CCL2	up	1.50305112705458	0.0110065042640036	1.50305112705458	6.50549985727486
CXCL9	up	1.6884291947666	0.0116897546575383	1.6884291947666	6.41861153861064
PNOC	up	1.57049399311968	0.00111450258202015	1.57049399311968	9.80938432570161
NPY1R	down	-2.83505468810876	0.00761559730543996	2.83505468810876	7.03682709026052
CD5	up	1.432054327607	0.00183737361688782	1.432054327607	9.08813926658241
LCK	up	1.23513728857034	0.00643223611569782	1.23513728857034	7.28046391846022
hsa-miR-146a-5p	down	-1.16595538914752	0.00945756173771955	1.16595538914752	6.72431599563315
PTPRC	up	1.20172512661429	0.00111450258202015	1.20172512661429	9.80938432570161
hsa-miR-494-3p	down	-2.33786094593974	5.62113054088687e-05	2.33786094593974	14.1187801550758
CD3D	up	1.63685039987555	0.00111450258202015	1.63685039987555	9.80938432570161
IGHV2-5	up	1.19039662384072	0.0381957453086016	1.19039662384072	4.71044424690747
IGHG1	up	2.64087038305269	0.0021897389139426	2.64087038305269	8.83502541940856
IGKV4-1	up	2.85056775579267	0.00070356196373004	2.85056775579267	10.4730348902321
IGHG4	up	2.69255345801038	0.00201197329793369	2.69255345801038	8.95717312623548
IGKV1D-16	up	2.72294358669483	0.00139973247615749	2.72294358669483	9.48063316620714
PRKCB	up	1.22869002088155	0.0110444434562054	1.22869002088155	6.5005354685195
IGLC6	up	2.90550094438991	0.00115390168968066	2.90550094438991	9.75926397042905
IGLC2	up	2.61101477021537	0.00245479150918301	2.61101477021537	8.67018378616721
CD3G	up	1.40689904296256	0.00468632321009627	1.40689904296256	7.73732782608143
hsa-miR-125a-5p	up	1.68740999157085	0.000733624510390954	1.68740999157085	10.4126705393777
hsa-miR-19a-3p	up	2.63769949808488	2.85468252060469e-08	2.63769949808488	25.0620944518357
hsa-miR-19b-3p	up	2.56306903886971	2.7041434800811e-07	2.56306903886971	21.8183249621071
hsa-miR-320b	up	1.35910833364961	0.010754973667569	1.35910833364961	6.53885219729772
SULT2B1	down	-1.2072424847737	0.0149017634027166	1.2072424847737	6.06837312742132
hsa-miR-30d-5p	up	3.16836275557492	1.03762417277069e-07	3.16836275557492	23.2002126697076
hsa-miR-30a-5p	up	1.46406894643764	0.000490003633773429	1.46406894643764	10.9949199315309
hsa-miR-30b-5p	up	3.20598900692799	8.91152716647548e-11	3.20598900692799	33.3855363564912
hsa-miR-30c-5p	up	3.44941232364504	1.02125156851083e-10	3.44941232364504	33.1889426547073
LCP1	up	1.01160249592574	0.0164288475079031	1.01160249592574	5.92762491173573
hsa-miR-17-5p	up	7.72607561490113	8.42790169517066e-17	7.72607561490113	53.3976041267321
hsa-miR-130b-3p	up	1.98140856193589	1.1976390859012e-05	1.98140856193589	16.3494472636629
hsa-miR-106b-5p	up	2.30723835627468	9.41435398421369e-09	2.30723835627468	26.6624907539155
hsa-miR-130a-3p	up	4.81665550802557	1.17734008840052e-09	4.81665550802557	29.6618217341384
hsa-miR-330-3p	up	2.00956361925975	1.91899091014658e-06	2.00956361925975	18.9912206915155
hsa-miR-221-3p	up	2.43421120327137	1.28106882081471e-05	2.43421120327137	16.2522924930733
hsa-miR-148a-3p	up	2.57322363196649	0.00323158006273772	2.57322363196649	8.27354454968129
hsa-miR-106a-5p	up	4.34717349894865	1.66642512358709e-11	4.34717349894865	35.8044525485489
hsa-miR-410-3p	up	1.26190059312711	0.0235738414183567	1.26190059312711	5.40666932114645
hsa-miR-335-5p	up	1.30724975040075	0.00305466145203036	1.30724975040075	8.35477178957447
hsa-miR-20b-5p	up	4.44689665014361	3.35177105090826e-13	4.44689665014361	41.4401416271595
hsa-miR-20a-5p	up	5.37388813738188	2.90774795958271e-11	5.37388813738188	35.0013068203146
