node1	node2	dirnode1	dirnode2	dir	logFCnode1	logFCnode2	fdrnode1	fdrnode2	pairs
FABP7	ACE2	down	down	d	-2.75296712813202	-1.91226697665055	0.0498389249067639	0.039324948915368	FABP7|ACE2
hsa-miR-224-5p	AFF3	down	up	o	-3.21486123443522	1.61756641331813	0.0191707739768991	0.00876586734219001	hsa-miR-224-5p|AFF3
hsa-miR-32-5p	ALPK3	up	down	o	2.92363205600458	-1.17523003271457	0.0114655286045331	0.0362118558290036	hsa-miR-32-5p|ALPK3
ERBB2	CD82	down	down	d	-1.86446692696938	-1.41303434910322	0.0332349610633672	0.0118871671693235	ERBB2|CD82
hsa-miR-32-5p	DSC2	up	down	o	2.92363205600458	-1.59068397613906	0.0114655286045331	0.0117161327398444	hsa-miR-32-5p|DSC2
ESR1	ERBB2	up	down	o	3.64815276755629	-1.86446692696938	1.05674705168292e-06	0.0332349610633672	ESR1|ERBB2
ESR1	GATA3	up	up	u	3.64815276755629	1.61441838666324	1.05674705168292e-06	0.0413684935517373	ESR1|GATA3
ESR1	GREB1	up	up	u	3.64815276755629	1.7499592020606	1.05674705168292e-06	0.0328234522089624	ESR1|GREB1
GATA3	GREB1	up	up	u	1.61441838666324	1.7499592020606	0.0413684935517373	0.0328234522089624	GATA3|GREB1
hsa-miR-342-3p	ID4	up	down	o	2.16224468317726	-1.49723528952384	0.0191707739768991	0.0332349610633672	hsa-miR-342-3p|ID4
hsa-miR-32-5p	ITGA8	up	down	o	2.92363205600458	-1.04928089650657	0.0114655286045331	0.039086652004953	hsa-miR-32-5p|ITGA8
ESR1	KRT4	up	down	o	3.64815276755629	-1.12557623344837	1.05674705168292e-06	0.0139588945262144	ESR1|KRT4
SERPINA3	NCS1	up	down	o	2.66340270555106	-1.0946721033719	0.0362118558290036	0.0166757651593314	SERPINA3|NCS1
hsa-miR-190b	NFIB	up	down	o	2.54022870535845	-1.55607222356363	0.0368509395340544	0.0039990956008707	hsa-miR-190b|NFIB
hsa-miR-32-5p	NFIB	up	down	o	2.92363205600458	-1.55607222356363	0.0114655286045331	0.0039990956008707	hsa-miR-32-5p|NFIB
hsa-miR-190b	PLCB4	up	down	o	2.54022870535845	-1.56074110073135	0.0368509395340544	0.0270027702084419	hsa-miR-190b|PLCB4
ESR1	S100A8	up	down	o	3.64815276755629	-3.52586121803706	1.05674705168292e-06	0.0177228683535893	ESR1|S100A8
hsa-miR-32-5p	SOX11	up	down	o	2.92363205600458	-3.21460942063287	0.0114655286045331	0.000590445842474212	hsa-miR-32-5p|SOX11
