node	dir	logFC	fdr	AbslogFC	Log2IvFdr
hsa-miR-34c-5p	down	-1.63555061547884	0.00806624862506223	1.63555061547884	6.95388641020812
SPDEF	up	2.87390141276069	0.000918536430473046	2.87390141276069	10.0883754377223
hsa-miR-454-3p	down	-2.74070949767429	0.0188488302554965	2.74070949767429	5.7293811960929
hsa-miR-9-5p	down	-5.72599370543455	2.72508810090508e-09	5.72599370543455	28.4510499816438
ESR1	up	3.23405422649634	0.0433082399828929	3.23405422649634	4.52921464631283
hsa-miR-301a-3p	down	-2.28171426492422	0.0412184594228078	2.28171426492422	4.60056560592158
hsa-miR-19a-3p	down	-2.63315268126631	0.0473426452417031	2.63315268126631	4.40071587173623
hsa-miR-1271-5p	down	-2.22114657237312	0.0270653488196737	2.22114657237312	5.20740920807094
hsa-let-7f-5p	down	-3.13550889208112	0.00806624862506223	3.13550889208112	6.95388641020812
hsa-let-7g-5p	down	-2.55417918752821	0.0407757610695505	2.55417918752821	4.61614438503819
hsa-miR-98-5p	down	-3.18187693766999	0.0196541772577621	3.18187693766999	5.66902021731213
hsa-let-7a-5p	down	-5.23390380821811	0.00846459835999488	5.23390380821811	6.88434266991276
hsa-miR-17-5p	down	-5.98309604192827	0.006609502309041	5.98309604192827	7.24124264277947
hsa-miR-23a-3p	down	-1.53546094711834	0.0474865945989311	1.53546094711834	4.39633588970379
hsa-miR-141-3p	down	-3.02917308942756	0.0182109352678541	3.02917308942756	5.77905117236684
hsa-miR-148a-3p	down	-2.79995119357716	0.0437912425384752	2.79995119357716	4.51321380418457
hsa-miR-30d-5p	down	-2.67419588386449	0.0474865945989311	2.67419588386449	4.39633588970379
hsa-miR-452-5p	down	-4.15503388282049	0.0321954305261949	4.15503388282049	4.95700024755285
hsa-miR-15b-5p	down	-3.25609798307128	0.00411177015424443	3.25609798307128	7.92602466375861
hsa-miR-107	down	-2.49767569302223	0.000381905786596837	2.49767569302223	11.3544955998579
hsa-miR-135b-5p	down	-5.26203067314419	6.47260283613501e-08	5.26203067314419	23.8810787773816
hsa-miR-135a-5p	down	-1.62338720671552	0.0290378779319553	1.62338720671552	5.10592016374505
hsa-miR-10b-5p	down	-3.57418799941508	0.00846459835999488	3.57418799941508	6.88434266991276
hsa-miR-31-5p	down	-4.33561011382054	0.000398891595266861	4.33561011382054	11.2917156537041
PXMP2	up	1.99689843409723	0.0224742937161682	1.99689843409723	5.47558041188561
hsa-miR-222-3p	down	-2.4221866554013	0.0338137674408271	2.4221866554013	4.88624542330992
hsa-miR-221-3p	down	-2.31433792422341	0.0179303480055631	2.31433792422341	5.80145270039566
hsa-miR-18a-5p	down	-3.49745874212726	0.00266371028084267	3.49745874212726	8.55234710883
XBP1	up	2.45150711819925	0.00354751653657257	2.45150711819925	8.13897487530913
AR	up	2.61310783188966	0.0458061449697985	2.61310783188966	4.44831503855339
hsa-miR-132-3p	down	-3.81456091974567	0.00788679121302861	3.81456091974567	6.98634583393568
hsa-miR-129-5p	down	-1.34834701040617	0.0225582480347229	1.34834701040617	5.47020116325098
hsa-miR-196b-5p	down	-2.88154678384625	0.000381905786596837	2.88154678384625	11.3544955998579
hsa-miR-224-5p	down	-3.5046404096936	0.0308078781212156	3.5046404096936	5.02055686894947
hsa-miR-29b-3p	down	-2.23179974387619	0.00931540781226713	2.23179974387619	6.74616535544614
MBNL1	down	-1.23351013369645	0.0496086337967064	1.23351013369645	4.33326496328102
hsa-miR-136-5p	up	2.21855745239315	0.0218025220295956	2.21855745239315	5.51936115985795
GTF2H3	up	1.16100635233697	0.0458061449697985	1.16100635233697	4.44831503855339
ETV6	down	-1.24043067092956	0.00649085487271247	1.24043067092956	7.26737578495808
ALDOA	up	1.79208646206962	0.0225922318807824	1.79208646206962	5.46802938853095
C1orf210	up	1.9726101265822	0.0229083394703853	1.9726101265822	5.4479833022654
C6orf211	up	2.54630858188425	0.0486255936054588	2.54630858188425	4.36214032761575
CANT1	up	2.06385807336049	0.00583539507489799	2.06385807336049	7.42095395035737
CDKN2AIPNL	up	1.42249821288482	0.0366551344206989	1.42249821288482	4.76984089361305
CERS6	up	1.4819804960505	0.00396671590990627	1.4819804960505	7.97783920707948
ELOVL6	up	1.62229455926322	0.0236954438979031	1.62229455926322	5.39924650186583
EPB41L5	up	1.42528940009037	0.0348457691595241	1.42528940009037	4.84287268958086
ERGIC3	up	1.61440948039384	0.0381051604036861	1.61440948039384	4.71386980138235
FLOT1	up	1.02350639652084	0.0380174594835707	1.02350639652084	4.71719406265187
FOXA1	up	3.78378274098754	5.72907639947336e-06	3.78378274098754	17.4132659925234
GPR160	up	2.02689470506637	0.0311986681442041	2.02689470506637	5.00237174731427
GSPT1	up	1.24730571526722	0.0225922318807824	1.24730571526722	5.46802938853095
KIAA1244	up	2.06960038052556	0.0241377418527296	2.06960038052556	5.37256547516698
KIF3B	up	1.44118764812987	0.0225922318807824	1.44118764812987	5.46802938853095
KLK5	down	-3.86524267858382	0.0236954438979031	3.86524267858382	5.39924650186583
KRT4	down	-2.24259272137225	0.00322126851166312	2.24259272137225	8.27815536181806
MBNL3	down	-1.46872998850171	0.0371254938356865	1.46872998850171	4.75144597330085
NEU1	up	1.17559274849283	0.0491557631996999	1.17559274849283	4.34649561650095
NFIB	down	-2.08736574298375	0.0492976548881293	2.08736574298375	4.34233717119866
PPM1H	up	2.42009981051195	0.0458061449697985	2.42009981051195	4.44831503855339
SERINC3	up	1.22486711410225	0.027400572356618	1.22486711410225	5.18965016055133
SPRED2	up	1.44853616720855	0.0183155165083765	1.44853616720855	5.77078980330285
TAF4B	down	-1.45458458724804	0.0415734490832948	1.45458458724804	4.58819374566265
TRAF3	down	-1.32128639957925	0.0276013160286296	1.32128639957925	5.17911913354252
VPS25	up	1.73321888744197	0.0241377418527296	1.73321888744197	5.37256547516698
