node	dir	logFC	fdr	AbslogFC	Log2IvFdr
SLC15A1	down	-2.21238532512666	0.0440572983838297	2.21238532512666	4.50447515882468
hsa-miR-9-5p	down	-5.72599370543455	2.72508810090508e-09	5.72599370543455	28.4510499816438
hsa-miR-301a-3p	down	-2.28171426492422	0.0412184594228078	2.28171426492422	4.60056560592158
ESR1	up	3.29464227208324	0.0317327574050544	3.29464227208324	4.97788330067312
SPDEF	up	2.59760148569975	0.00236854816887863	2.59760148569975	8.72178127252928
hsa-miR-19a-3p	down	-2.63315268126631	0.0473426452417031	2.63315268126631	4.40071587173623
hsa-miR-454-3p	down	-2.74070949767429	0.0188488302554965	2.74070949767429	5.7293811960929
GLUD2	up	1.24907996022684	0.0193389044149801	1.24907996022684	5.69235012401096
hsa-let-7a-5p	down	-5.23390380821811	0.00846459835999488	5.23390380821811	6.88434266991276
AR	up	2.72339611969536	0.0299348329075885	2.72339611969536	5.06203097245087
hsa-let-7f-5p	down	-3.13550889208112	0.00806624862506223	3.13550889208112	6.95388641020812
hsa-let-7g-5p	down	-2.55417918752821	0.0407757610695505	2.55417918752821	4.61614438503819
hsa-miR-34c-5p	down	-1.63555061547884	0.00806624862506223	1.63555061547884	6.95388641020812
hsa-miR-17-5p	down	-5.98309604192827	0.006609502309041	5.98309604192827	7.24124264277947
hsa-miR-15b-5p	down	-3.25609798307128	0.00411177015424443	3.25609798307128	7.92602466375861
hsa-miR-98-5p	down	-3.18187693766999	0.0196541772577621	3.18187693766999	5.66902021731213
hsa-miR-23a-3p	down	-1.53546094711834	0.0474865945989311	1.53546094711834	4.39633588970379
hsa-miR-141-3p	down	-3.02917308942756	0.0182109352678541	3.02917308942756	5.77905117236684
hsa-miR-148a-3p	down	-2.79995119357716	0.0437912425384752	2.79995119357716	4.51321380418457
hsa-miR-30d-5p	down	-2.67419588386449	0.0474865945989311	2.67419588386449	4.39633588970379
hsa-miR-452-5p	down	-4.15503388282049	0.0321954305261949	4.15503388282049	4.95700024755285
hsa-miR-222-3p	down	-2.4221866554013	0.0338137674408271	2.4221866554013	4.88624542330992
hsa-miR-18a-5p	down	-3.49745874212726	0.00266371028084267	3.49745874212726	8.55234710883
hsa-miR-221-3p	down	-2.31433792422341	0.0179303480055631	2.31433792422341	5.80145270039566
hsa-miR-107	down	-2.49767569302223	0.000381905786596837	2.49767569302223	11.3544955998579
hsa-miR-132-3p	down	-3.81456091974567	0.00788679121302861	3.81456091974567	6.98634583393568
XBP1	up	2.61583853291975	0.00156069801866552	2.61583853291975	9.32359286913989
hsa-miR-129-5p	down	-1.34834701040617	0.0225582480347229	1.34834701040617	5.47020116325098
GSTA2	down	-2.51328895062143	0.0193389044149801	2.51328895062143	5.69235012401096
hsa-miR-1271-5p	down	-2.22114657237312	0.0270653488196737	2.22114657237312	5.20740920807094
hsa-miR-135a-5p	down	-1.62338720671552	0.0290378779319553	1.62338720671552	5.10592016374505
hsa-miR-135b-5p	down	-5.26203067314419	6.47260283613501e-08	5.26203067314419	23.8810787773816
hsa-miR-224-5p	down	-3.5046404096936	0.0308078781212156	3.5046404096936	5.02055686894947
hsa-miR-29b-3p	down	-2.23179974387619	0.00931540781226713	2.23179974387619	6.74616535544614
hsa-miR-136-5p	up	2.21855745239315	0.0218025220295956	2.21855745239315	5.51936115985795
hsa-miR-362-5p	down	-2.10703979264307	0.00411177015424443	2.10703979264307	7.92602466375861
ACTR3B	down	-1.15155903329732	0.0351484225684927	1.15155903329732	4.83039624595854
ATL2	down	-1.16173503884544	0.0207334327765823	1.16173503884544	5.591897190561
CCND1	up	3.2903612389967	0.0355144954907223	3.2903612389967	4.81544819884211
CCNI	up	1.2611649623461	0.0299348329075885	1.2611649623461	5.06203097245087
CERS6	up	1.22100657867733	0.0248101441360092	1.22100657867733	5.33292607309732
FOXA1	up	3.8272686588786	2.44259558326247e-06	3.8272686588786	18.6431535507127
GPR160	up	2.30594687093255	0.00686177196241324	2.30594687093255	7.18720310312125
GSTA5	down	-3.25046743754886	0.0445594063662126	3.25046743754886	4.48812617698515
INPP5J	up	2.29320208025958	0.0412897793814328	2.29320208025958	4.59807147981387
KIAA1244	up	1.97032711730974	0.0300708554357707	1.97032711730974	5.05549028044644
KIF3B	up	1.29991976511575	0.041644767824115	1.29991976511575	4.58572094048327
KLK5	down	-3.59839195357206	0.034565228676299	3.59839195357206	4.85453471953044
KRT4	down	-1.9354980748673	0.0125525992122591	1.9354980748673	6.31587006206283
NFIB	down	-2.18078031675336	0.0317327574050544	2.18078031675336	4.97788330067312
NOP2	down	-1.21628889527651	0.0165426944921548	1.21628889527651	5.91766194838126
THSD4	up	2.5444438896755	0.0382353847853805	2.5444438896755	4.70894779692356
