node	dir	logFC	fdr	AbslogFC	Log2IvFdr
hsa-miR-18a-5p	up	2.19821785299196	0.00805009981059313	2.19821785299196	6.95677761381309
hsa-miR-107	up	1.11288036958944	0.0362000769699347	1.11288036958944	4.78786342495174
hsa-miR-10a-5p	up	2.16836859373359	0.0202356415015968	2.16836859373359	5.62695760434522
hsa-miR-10b-5p	up	2.23199344295539	0.0202356415015968	2.23199344295539	5.62695760434522
hsa-miR-301a-3p	up	2.15888894740449	0.00485994671189347	2.15888894740449	7.68484378953648
hsa-miR-301b-3p	up	1.16636301178639	0.00805009981059313	1.16636301178639	6.95677761381309
hsa-miR-454-3p	up	2.1380909420972	0.00805009981059313	2.1380909420972	6.95677761381309
AMIGO1	down	-1.51220969076669	0.0242895892875149	1.51220969076669	5.36351809411445
BTRC	down	-1.59184870202351	0.0242895892875149	1.59184870202351	5.36351809411445
CHST1	down	-3.57422251298226	0.0324487984723682	3.57422251298226	4.94569113127446
KCND3	down	-2.01727256763807	0.0358812131866373	2.01727256763807	4.80062751945189
SIK3	down	-1.61572508515792	0.0242895892875149	1.61572508515792	5.36351809411445
