node1	node2	dirnode1	dirnode2	dir	logFCnode1	logFCnode2	fdrnode1	fdrnode2	pairs
NPY1R	CCR5	down	up	o	-2.83505468810876	1.03001645278962	0.00761559730543996	0.0250791698963566	NPY1R|CCR5
C3	CCR5	up	up	u	1.32979191839762	1.03001645278962	0.00529636717469501	0.0250791698963566	C3|CCR5
CXCR5	CCR5	up	up	u	1.26639563491093	1.03001645278962	0.00687592970680264	0.0250791698963566	CXCR5|CCR5
CXCL13	CCR5	up	up	u	2.87181181416536	1.03001645278962	0.000754528324868007	0.0250791698963566	CXCL13|CCR5
CXCR6	CCR5	up	up	u	1.1516434543097	1.03001645278962	0.0110065042640036	0.0250791698963566	CXCR6|CCR5
S1PR4	CCR5	up	up	u	1.67275662753577	1.03001645278962	0.000619822504735688	0.0250791698963566	S1PR4|CCR5
CCR7	CCR5	up	up	u	1.94989783008129	1.03001645278962	0.00175911697349956	0.0250791698963566	CCR7|CCR5
CCL5	CCR5	up	up	u	1.4934479397018	1.03001645278962	0.00506774710417861	0.0250791698963566	CCL5|CCR5
CXCL13	CCR7	up	up	u	2.87181181416536	1.94989783008129	0.000754528324868007	0.00175911697349956	CXCL13|CCR7
CCL21	CCR7	up	up	u	1.43075326315072	1.94989783008129	0.0483128574181585	0.00175911697349956	CCL21|CCR7
CXCR6	CCR7	up	up	u	1.1516434543097	1.94989783008129	0.0110065042640036	0.00175911697349956	CXCR6|CCR7
NPY1R	CCR7	down	up	o	-2.83505468810876	1.94989783008129	0.00761559730543996	0.00175911697349956	NPY1R|CCR7
S1PR4	CCR7	up	up	u	1.67275662753577	1.94989783008129	0.000619822504735688	0.00175911697349956	S1PR4|CCR7
C3	CCR7	up	up	u	1.32979191839762	1.94989783008129	0.00529636717469501	0.00175911697349956	C3|CCR7
CCL5	CCR7	up	up	u	1.4934479397018	1.94989783008129	0.00506774710417861	0.00175911697349956	CCL5|CCR7
C3	CD19	up	up	u	1.32979191839762	2.40168509415101	0.00529636717469501	0.00070356196373004	C3|CD19
CD5	CD27	up	up	u	1.432054327607	1.62177356352944	0.00183737361688782	0.000576464885442112	CD5|CD27
LCK	CD38	up	up	u	1.23513728857034	1.44080493028952	0.00643223611569782	0.00268203036071426	LCK|CD38
hsa-miR-146a-5p	CD3D	down	up	o	-1.16595538914752	1.63685039987555	0.00945756173771955	0.00111450258202015	hsa-miR-146a-5p|CD3D
PTPRC	CD3G	up	up	u	1.20172512661429	1.40689904296256	0.00111450258202015	0.00468632321009627	PTPRC|CD3G
hsa-miR-494-3p	CD3G	down	up	o	-2.33786094593974	1.40689904296256	5.62113054088687e-05	0.00468632321009627	hsa-miR-494-3p|CD3G
LCK	CD3G	up	up	u	1.23513728857034	1.40689904296256	0.00643223611569782	0.00468632321009627	LCK|CD3G
CD3D	CD3G	up	up	u	1.63685039987555	1.40689904296256	0.00111450258202015	0.00468632321009627	CD3D|CD3G
IGHV2-5	CD3G	up	up	u	1.19039662384072	1.40689904296256	0.0381957453086016	0.00468632321009627	IGHV2-5|CD3G
IGHG1	CD3G	up	up	u	2.64087038305269	1.40689904296256	0.0021897389139426	0.00468632321009627	IGHG1|CD3G
IGKV4-1	CD3G	up	up	u	2.85056775579267	1.40689904296256	0.00070356196373004	0.00468632321009627	IGKV4-1|CD3G
hsa-miR-136-5p	CD3G	down	up	o	-2.31365745924243	1.40689904296256	6.20146844688987e-08	0.00468632321009627	hsa-miR-136-5p|CD3G
IGHG4	CD3G	up	up	u	2.69255345801038	1.40689904296256	0.00201197329793369	0.00468632321009627	IGHG4|CD3G
IGKV1D-16	CD3G	up	up	u	2.72294358669483	1.40689904296256	0.00139973247615749	0.00468632321009627	IGKV1D-16|CD3G
LCK	CD48	up	up	u	1.23513728857034	1.16498317912223	0.00643223611569782	0.00717688072334309	LCK|CD48
PRKCB	CD5	up	up	u	1.22869002088155	1.432054327607	0.0110444434562054	0.00183737361688782	PRKCB|CD5
CD5	CD6	up	up	u	1.432054327607	1.45129836789233	0.00183737361688782	0.00199833264341737	CD5|CD6
IGKV4-1	CD79B	up	up	u	2.85056775579267	1.00804838586753	0.00070356196373004	0.0297983171385624	IGKV4-1|CD79B
CD19	CD79B	up	up	u	2.40168509415101	1.00804838586753	0.00070356196373004	0.0297983171385624	CD19|CD79B
IGKV1D-16	CD79B	up	up	u	2.72294358669483	1.00804838586753	0.00139973247615749	0.0297983171385624	IGKV1D-16|CD79B
