Gene.Symbol	Freq	Rank.Muts
TUBB6	26	12313.5
UMODL1	26	12313.5
UTP4	26	12313.5
VPS26A	26	12313.5
WASHC4	26	12313.5
WDR90	26	12313.5
WWC1	26	12313.5
XPR1	26	12313.5
ZBTB18	26	12313.5
ZFR	26	12313.5
ZNF541	26	12313.5
ZNF804B	26	12313.5
ZNRF3	26	12313.5
AC012531.3	25	12192
AC093512.2	25	12192
ACBD5	25	12192
ADAM12	25	12192
AMN1	25	12192
ANTXR2	25	12192
ARFGAP2	25	12192
ARFIP2	25	12192
ATP6V0B	25	12192
ATRN	25	12192
BZW1	25	12192
C11orf74	25	12192
CABYR	25	12192
CALM2	25	12192
CAPN1	25	12192
CDHR2	25	12192
CDYL2	25	12192
CFAP47	25	12192
COPS7B	25	12192
CTSA	25	12192
CYP2D6	25	12192
DIO2	25	12192
DOCK3	25	12192
DPF1	25	12192
EED	25	12192
EIF4E2	25	12192
ELF2	25	12192
EPDR1	25	12192
ERI2	25	12192
FAM135B	25	12192
FAM49A	25	12192
GGA3	25	12192
HOXA10	25	12192
IP6K1	25	12192
IRAK4	25	12192
ITGA7	25	12192
IYD	25	12192
JARID2	25	12192
KCNJ6	25	12192
KCNK2	25	12192
KIAA0895	25	12192
KIRREL2	25	12192
KLHL14	25	12192
LCLAT1	25	12192
LEF1	25	12192
LONRF3	25	12192
MAK	25	12192
MATK	25	12192
MCOLN3	25	12192
MGAT1	25	12192
MINDY1	25	12192
NECTIN3	25	12192
NOP9	25	12192
NUDT7	25	12192
OPRK1	25	12192
PCSK7	25	12192
PCYT2	25	12192
PDHA1	25	12192
PDZD2	25	12192
PMEPA1	25	12192
PNCK	25	12192
POLDIP3	25	12192
PPM1B	25	12192
PPP2R3A	25	12192
PRR5L	25	12192
PSD3	25	12192
PSMD2	25	12192
PTP4A2	25	12192
RAPGEF3	25	12192
RNF157	25	12192
RNFT2	25	12192
RPS6	25	12192
RPS6KA6	25	12192
SCN4A	25	12192
SEPT10	25	12192
SHC1	25	12192
SLC16A10	25	12192
SNRNP200	25	12192
SNX14	25	12192
SRGAP2B	25	12192
SRSF11	25	12192
ST6GAL1	25	12192
STARD13	25	12192
SV2B	25	12192
SYN3	25	12192
TARDBP	25	12192
TDRD9	25	12192
TMEM196	25	12192
TNS3	25	12192
TRIM16	25	12192
TTC23	25	12192
TTLL7	25	12192
TTYH2	25	12192
UBE2A	25	12192
UBE4A	25	12192
UCHL5	25	12192
USP31	25	12192
VAC14	25	12192
VASH2	25	12192
WDR81	25	12192
WIPF2	25	12192
WSCD1	25	12192
ZFAND3	25	12192
ABI3BP	24	12005
ADAMTSL2	24	12005
ADD3	24	12005
ADH7	24	12005
AIFM3	24	12005
ALDH4A1	24	12005
ALDH7A1	24	12005
ALDH8A1	24	12005
AMT	24	12005
ANGPT2	24	12005
ANKLE2	24	12005
ARAF	24	12005
ARFGAP1	24	12005
ARHGAP4	24	12005
ARHGEF25	24	12005
ARL13B	24	12005
ASCC2	24	12005
ATP12A	24	12005
ATP9A	24	12005
AURKB	24	12005
BIN3	24	12005
BUB1	24	12005
C5orf63	24	12005
CAP1	24	12005
CAPG	24	12005
CC2D1A	24	12005
CCDC112	24	12005
CCDC171	24	12005
CCDC80	24	12005
CCNC	24	12005
CCP110	24	12005
CD22	24	12005
CDH22	24	12005
CDK7	24	12005
CDON	24	12005
CEP85	24	12005
CFAP36	24	12005
CIART	24	12005
CLASRP	24	12005
CLTA	24	12005
CMTM5	24	12005
CNOT10	24	12005
CNTN3	24	12005
COL7A1	24	12005
CPEB3	24	12005
CRELD1	24	12005
CRMP1	24	12005
CTDSPL2	24	12005
CYP7B1	24	12005
DAZAP1	24	12005
DDX39B	24	12005
DGCR8	24	12005
DHX29	24	12005
DLG3	24	12005
DNAAF4	24	12005
DOK5	24	12005
DPP9	24	12005
DRGX	24	12005
DSG4	24	12005
DYRK4	24	12005
ECSIT	24	12005
EHD2	24	12005
EIF3L	24	12005
EPN1	24	12005
EPPK1	24	12005
EPS15	24	12005
ERCC6L	24	12005
ESPL1	24	12005
ETNPPL	24	12005
ETS2	24	12005
ETV7	24	12005
EVA1C	24	12005
FAM192A	24	12005
FAM19A1	24	12005
FANCC	24	12005
FARP2	24	12005
FASTKD2	24	12005
FBLN5	24	12005
FBXO25	24	12005
FGF14	24	12005
FGF5	24	12005
FOXM1	24	12005
GAB3	24	12005
GATA4	24	12005
GIT1	24	12005
GLMP	24	12005
GMFG	24	12005
GPR17	24	12005
GRID2IP	24	12005
GRK6	24	12005
GYS1	24	12005
HEPACAM2	24	12005
HMGCS1	24	12005
HPS3	24	12005
ICK	24	12005
IFT140	24	12005
KCNA1	24	12005
KCNB2	24	12005
KCNK9	24	12005
KCTD20	24	12005
KIAA0391	24	12005
KIAA0586	24	12005
KIAA1191	24	12005
KIF17	24	12005
KIZ	24	12005
KLHDC4	24	12005
LAMB3	24	12005
LIMK2	24	12005
LPIN1	24	12005
LRCH1	24	12005
LRRD1	24	12005
LRRTM1	24	12005
LTBP4	24	12005
LTK	24	12005
MAEL	24	12005
MAP2K3	24	12005
MAP2K7	24	12005
MAP3K20	24	12005
MAP3K5	24	12005
MAPK8	24	12005
MBD4	24	12005
MCOLN2	24	12005
MED15	24	12005
MED22	24	12005
MEMO1	24	12005
MID2	24	12005
MKRN2	24	12005
MPP7	24	12005
MPPED2	24	12005
MROH1	24	12005
MSL1	24	12005
MTA2	24	12005
MTERF3	24	12005
MTFR1L	24	12005
MTMR2	24	12005
MYBPC3	24	12005
MYO1F	24	12005
NDUFV1	24	12005
NELFA	24	12005
NFS1	24	12005
NGLY1	24	12005
NLRP3	24	12005
NMD3	24	12005
NMNAT3	24	12005
NOL10	24	12005
NPHS1	24	12005
NPR3	24	12005
NRBP1	24	12005
NUSAP1	24	12005
OFD1	24	12005
ORC1	24	12005
ORC3	24	12005
P3H2	24	12005
PAICS	24	12005
PDE4C	24	12005
PDGFD	24	12005
PDZD3	24	12005
PEG3	24	12005
PEX6	24	12005
PFDN6	24	12005
PGF	24	12005
PHKB	24	12005
PHRF1	24	12005
PIP5K1B	24	12005
PITPNB	24	12005
PLSCR3	24	12005
PNISR	24	12005
PPA2	24	12005
PPP1R7	24	12005
PPP6C	24	12005
PQBP1	24	12005
PRKCE	24	12005
PRPS1	24	12005
PRRC2A	24	12005
PTPRN	24	12005
PUS1	24	12005
PUS7L	24	12005
PWWP3B	24	12005
RABGEF1	24	12005
RAD54B	24	12005
RARG	24	12005
RBM12B	24	12005
RBMS2	24	12005
RDX	24	12005
RGS20	24	12005
RGS9	24	12005
RHBDF2	24	12005
RHBDL3	24	12005
RHOBTB2	24	12005
RHOC	24	12005
RNF13	24	12005
RNF40	24	12005
RPS2	24	12005
RPS6KA4	24	12005
RWDD4	24	12005
RYK	24	12005
SAAL1	24	12005
SALL2	24	12005
SAMD9	24	12005
SASH1	24	12005
SELENOP	24	12005
SELP	24	12005
SEPT6	24	12005
SETD7	24	12005
SGSM2	24	12005
SHISA6	24	12005
SKIL	24	12005
SLC16A1	24	12005
SLC22A23	24	12005
SLC22A6	24	12005
SLC23A2	24	12005
SLC26A11	24	12005
SLC2A9	24	12005
SLC34A2	24	12005
SLC35A2	24	12005
SLC44A3	24	12005
SLC5A11	24	12005
SLC6A12	24	12005
SMC1B	24	12005
SNCA	24	12005
SOCS5	24	12005
SPATA2	24	12005
SPATA3	24	12005
SPEG	24	12005
SPOCK2	24	12005
ST6GALNAC3	24	12005
STAMBP	24	12005
STX16	24	12005
SULF2	24	12005
SUMO1	24	12005
SV2C	24	12005
SYTL1	24	12005
SYTL5	24	12005
TANC1	24	12005
TBC1D8	24	12005
TGFB2	24	12005
TGFBRAP1	24	12005
THNSL2	24	12005
TJAP1	24	12005
TMEM131L	24	12005
TMEM267	24	12005
TMF1	24	12005
TNS2	24	12005
TPCN1	24	12005
TRANK1	24	12005
TRIOBP	24	12005
TSBP1	24	12005
TTC7A	24	12005
UAP1	24	12005
UBAP2	24	12005
UBE4B	24	12005
UHMK1	24	12005
ULK2	24	12005
UNC13D	24	12005
UPF3B	24	12005
USP20	24	12005
VANGL1	24	12005
VPS28	24	12005
VWDE	24	12005
WASHC2C	24	12005
WNT2B	24	12005
XIAP	24	12005
ZC3H6	24	12005
ZCCHC8	24	12005
ZFAND2B	24	12005
ZHX2	24	12005
ZNF331	24	12005
ZNF398	24	12005
ZNF639	24	12005
ZNF652	24	12005
ZNF76	24	12005
AC099850.2	23	11823
ADAMTS5	23	11823
ALDH3A2	23	11823
ARL1	23	11823
ASCC3	23	11823
BCL9L	23	11823
BEST1	23	11823
C8orf59	23	11823
CBLL1	23	11823
CCDC181	23	11823
CCDC47	23	11823
CDH10	23	11823
CERS2	23	11823
CFLAR	23	11823
CHD5	23	11823
CLK1	23	11823
CLSTN2	23	11823
COLQ	23	11823
CPQ	23	11823
CYP4A11	23	11823
CYP4B1	23	11823
DDX24	23	11823
DIP2B	23	11823
DNAJA4	23	11823
DNAJC2	23	11823
E2F5	23	11823
E2F8	23	11823
EFCAB5	23	11823
ELF4	23	11823
ELOA	23	11823
EPRS	23	11823
ETF1	23	11823
ETV2	23	11823
FMNL2	23	11823
FREM3	23	11823
GBGT1	23	11823
GDAP1L1	23	11823
GPC5	23	11823
GPM6B	23	11823
GSDME	23	11823
HIST1H2BN	23	11823
IMPG1	23	11823
INTS1	23	11823
IPO8	23	11823
IRS1	23	11823
ITGA9	23	11823
JMJD6	23	11823
KCND2	23	11823
KHDC4	23	11823
KIAA1755	23	11823
KIF13B	23	11823
LAMA5	23	11823
LDHA	23	11823
LONRF1	23	11823
MALRD1	23	11823
MAN1C1	23	11823
MAPK1	23	11823
MAPK14	23	11823
MROH7	23	11823
MRPS22	23	11823
MYOM3	23	11823
NAALADL2	23	11823
NBEAL2	23	11823
NETO1	23	11823
NR2E1	23	11823
NRAS	23	11823
NT5C2	23	11823
OXCT1	23	11823
PACS1	23	11823
PGM3	23	11823
PIBF1	23	11823
PLXNA1	23	11823
PSMC6	23	11823
PTPRJ	23	11823
RAB2A	23	11823
RAE1	23	11823
RERG	23	11823
RPE	23	11823
SLC5A12	23	11823
SMAD9	23	11823
SMIM4	23	11823
SNX10	23	11823
SPAG16	23	11823
STK40	23	11823
TBX18	23	11823
TCF7	23	11823
TLE1	23	11823
TRAK2	23	11823
VPS33A	23	11823
WNK2	23	11823
ZC3H7A	23	11823
ZCCHC17	23	11823
ZGRF1	23	11823
ABCC10	22	11708.5
AC011604.2	22	11708.5
ACTR8	22	11708.5
ADAMTS2	22	11708.5
AGBL3	22	11708.5
ANKAR	22	11708.5
ARHGAP11A	22	11708.5
ARHGAP42	22	11708.5
ARID3B	22	11708.5
ATP2C2	22	11708.5
AVL9	22	11708.5
BCL9	22	11708.5
BRD3	22	11708.5
BUB3	22	11708.5
CCN4	22	11708.5
CENPN	22	11708.5
CERCAM	22	11708.5
CLK3	22	11708.5
CLSTN3	22	11708.5
CMKLR1	22	11708.5
CNEP1R1	22	11708.5
COG1	22	11708.5
COG3	22	11708.5
COL16A1	22	11708.5
COL2A1	22	11708.5
COL4A1	22	11708.5
CPD	22	11708.5
CRYZ	22	11708.5
CSE1L	22	11708.5
CTDSPL	22	11708.5
DAP3	22	11708.5
DCAF17	22	11708.5
DENND4B	22	11708.5
DGAT1	22	11708.5
DHX37	22	11708.5
DHX8	22	11708.5
DPP4	22	11708.5
ECEL1	22	11708.5
EEA1	22	11708.5
EIF3A	22	11708.5
EIF3H	22	11708.5
ELOVL5	22	11708.5
EML6	22	11708.5
ERN2	22	11708.5
FBXL5	22	11708.5
FER	22	11708.5
FNDC5	22	11708.5
GALNT11	22	11708.5
GAP43	22	11708.5
GAREM1	22	11708.5
GFM1	22	11708.5
GMPS	22	11708.5
GPR85	22	11708.5
H2AFV	22	11708.5
IFT81	22	11708.5
IFT88	22	11708.5
ITGA1	22	11708.5
ITGA11	22	11708.5
JADE3	22	11708.5
JHY	22	11708.5
KBTBD3	22	11708.5
KCNS2	22	11708.5
KIF15	22	11708.5
KIF5A	22	11708.5
KIF5C	22	11708.5
KLHL23	22	11708.5
LAMC1	22	11708.5
LARP1	22	11708.5
LAYN	22	11708.5
LBR	22	11708.5
LHFPL3	22	11708.5
LHX6	22	11708.5
LLGL2	22	11708.5
LRRC36	22	11708.5
MAP3K8	22	11708.5
MED13L	22	11708.5
MPHOSPH9	22	11708.5
MTM1	22	11708.5
MTUS1	22	11708.5
MYH15	22	11708.5
MYO1A	22	11708.5
MYO5C	22	11708.5
NAALADL1	22	11708.5
NLN	22	11708.5
NME9	22	11708.5
NPTN	22	11708.5
NR5A1	22	11708.5
NWD2	22	11708.5
PARD6B	22	11708.5
PHF19	22	11708.5
PIEZO1	22	11708.5
PKIG	22	11708.5
PLXNB3	22	11708.5
PNKD	22	11708.5
POLR3A	22	11708.5
POLR3B	22	11708.5
PPM1F	22	11708.5
PPP3CC	22	11708.5
PRMT8	22	11708.5
PSEN1	22	11708.5
PSME4	22	11708.5
RAB35	22	11708.5
RADX	22	11708.5
RANBP2	22	11708.5
RMND1	22	11708.5
ROCK1	22	11708.5
SALL4	22	11708.5
SLC38A4	22	11708.5
SLC6A6	22	11708.5
SLCO3A1	22	11708.5
SMO	22	11708.5
SPOCK1	22	11708.5
SREBF2	22	11708.5
SS18	22	11708.5
SSH1	22	11708.5
SSPO	22	11708.5
TESK2	22	11708.5
THSD1	22	11708.5
TIMELESS	22	11708.5
TOGARAM1	22	11708.5
TTC33	22	11708.5
UBE3C	22	11708.5
USP24	22	11708.5
USP4	22	11708.5
USP6NL	22	11708.5
VLDLR	22	11708.5
VPS16	22	11708.5
VPS50	22	11708.5
VWC2L	22	11708.5
WDR49	22	11708.5
WRAP53	22	11708.5
WSB1	22	11708.5
ZFAND6	22	11708.5
ZIC3	22	11708.5
ZNF280D	22	11708.5
ZZEF1	22	11708.5
ADAMTSL4	21	11539.5
ADARB2	21	11539.5
ADGRA2	21	11539.5
AGBL5	21	11539.5
ALAS2	21	11539.5
ALB	21	11539.5
ALDH5A1	21	11539.5
ANKRD16	21	11539.5
AP2A2	21	11539.5
ARHGAP33	21	11539.5
ASIC3	21	11539.5
ATP6V1C1	21	11539.5
ATP6V1C2	21	11539.5
B3GAT1	21	11539.5
B4GALNT2	21	11539.5
BRINP3	21	11539.5
C16orf45	21	11539.5
C16orf58	21	11539.5
C8B	21	11539.5
CABLES1	21	11539.5
CACHD1	21	11539.5
CALCOCO2	21	11539.5
CALM3	21	11539.5
CCDC141	21	11539.5
CCNE2	21	11539.5
CCT2	21	11539.5
CCT5	21	11539.5
CES1	21	11539.5
CFTR	21	11539.5
CIDEC	21	11539.5
CKMT2	21	11539.5
CNDP2	21	11539.5
CNNM2	21	11539.5
COG8	21	11539.5
COL11A2	21	11539.5
COL24A1	21	11539.5
COL8A1	21	11539.5
COMP	21	11539.5
COPS7A	21	11539.5
CRHR1	21	11539.5
CTTNBP2	21	11539.5
CYP3A43	21	11539.5
DERL1	21	11539.5
DGCR2	21	11539.5
DGKA	21	11539.5
DHX15	21	11539.5
DHX36	21	11539.5
DMKN	21	11539.5
DPY19L3	21	11539.5
DPYSL5	21	11539.5
DUS2	21	11539.5
ELAVL1	21	11539.5
EME1	21	11539.5
ENDOV	21	11539.5
ENSA	21	11539.5
EPHA8	21	11539.5
EXOSC9	21	11539.5
FAM160A1	21	11539.5
FEZF2	21	11539.5
FRMD7	21	11539.5
FZD6	21	11539.5
GABRA5	21	11539.5
GABRA6	21	11539.5
GAD2	21	11539.5
GLB1	21	11539.5
GMEB1	21	11539.5
GMPPB	21	11539.5
GNB2	21	11539.5
GOPC	21	11539.5
GPR34	21	11539.5
GTF2H1	21	11539.5
HAL	21	11539.5
HEATR5B	21	11539.5
HEATR6	21	11539.5
HELZ2	21	11539.5
HOXA4	21	11539.5
HTT	21	11539.5
HVCN1	21	11539.5
INSIG2	21	11539.5
INSRR	21	11539.5
INTS4	21	11539.5
INTS9	21	11539.5
ITGAX	21	11539.5
ITIH3	21	11539.5
JAG1	21	11539.5
JPH2	21	11539.5
JUP	21	11539.5
KANSL1L	21	11539.5
KCNC3	21	11539.5
KIAA0513	21	11539.5
KIAA1958	21	11539.5
KIF1BP	21	11539.5
KLHL33	21	11539.5
KMT2B	21	11539.5
KYAT1	21	11539.5
LBHD1	21	11539.5
LMCD1	21	11539.5
LRRC1	21	11539.5
LRRC32	21	11539.5
MASTL	21	11539.5
MDFIC	21	11539.5
MED8	21	11539.5
MMP19	21	11539.5
MOBP	21	11539.5
MPP1	21	11539.5
MRO	21	11539.5
MTERF2	21	11539.5
MUC1	21	11539.5
NAA15	21	11539.5
NDUFS7	21	11539.5
NFX1	21	11539.5
NKRF	21	11539.5
NPHP1	21	11539.5
NSMCE2	21	11539.5
NUP205	21	11539.5
OARD1	21	11539.5
OSGIN2	21	11539.5
P4HB	21	11539.5
PAAF1	21	11539.5
PANK1	21	11539.5
PAPOLA	21	11539.5
PARP3	21	11539.5
PAX4	21	11539.5
PDHX	21	11539.5
PEX5	21	11539.5
PHC1	21	11539.5
PIWIL1	21	11539.5
PKN1	21	11539.5
PKP1	21	11539.5
PLA2G4A	21	11539.5
POLD3	21	11539.5
PON3	21	11539.5
POPDC2	21	11539.5
PPP1R21	21	11539.5
PRDM8	21	11539.5
PSMA3	21	11539.5
PTGES3	21	11539.5
PTPN6	21	11539.5
RABEP2	21	11539.5
RANBP17	21	11539.5
RBM24	21	11539.5
RFC4	21	11539.5
RFX2	21	11539.5
RND3	21	11539.5
RTN3	21	11539.5
RUFY1	21	11539.5
RUSC1	21	11539.5
SAXO1	21	11539.5
SCAF11	21	11539.5
SCAI	21	11539.5
SEC24A	21	11539.5
SEC24D	21	11539.5
SERPINA4	21	11539.5
SH2D1A	21	11539.5
SIGLEC10	21	11539.5
SLC12A9	21	11539.5
SLC35F3	21	11539.5
SLC38A7	21	11539.5
SLC39A1	21	11539.5
SLC39A6	21	11539.5
SLC4A1AP	21	11539.5
SLC52A2	21	11539.5
SLC7A8	21	11539.5
SLC7A9	21	11539.5
SLC9A7	21	11539.5
SMYD1	21	11539.5
SNTB1	21	11539.5
SNW1	21	11539.5
SNX11	21	11539.5
SNX13	21	11539.5
SORT1	21	11539.5
SQSTM1	21	11539.5
SREK1	21	11539.5
SRSF10	21	11539.5
STEAP2	21	11539.5
STON2	21	11539.5
STRN3	21	11539.5
SYT16	21	11539.5
TATDN1	21	11539.5
TEAD4	21	11539.5
TMPRSS4	21	11539.5
TMUB2	21	11539.5
TNFSF13	21	11539.5
TRAF5	21	11539.5
TRAF7	21	11539.5
TRIM36	21	11539.5
TRIP11	21	11539.5
TRPV1	21	11539.5
TSEN15	21	11539.5
TUBB	21	11539.5
UCK2	21	11539.5
UHRF1BP1L	21	11539.5
ULK3	21	11539.5
VAV2	21	11539.5
VCPIP1	21	11539.5
VNN2	21	11539.5
VNN3	21	11539.5
VPS18	21	11539.5
ZBTB7C	21	11539.5
ZCCHC7	21	11539.5
ZNF383	21	11539.5
ZSCAN25	21	11539.5
ABCA13	20	11282.5
ABCG8	20	11282.5
ACSF3	20	11282.5
ACTR1A	20	11282.5
ADCY9	20	11282.5
ADCYAP1R1	20	11282.5
ADGRL1	20	11282.5
ADPRH	20	11282.5
AKAP11	20	11282.5
AL358075.4	20	11282.5
ALDH3B1	20	11282.5
ALS2CR12	20	11282.5
ANKRD46	20	11282.5
ANLN	20	11282.5
ANXA1	20	11282.5
ANXA11	20	11282.5
APOA1	20	11282.5
ARMC5	20	11282.5
ASB15	20	11282.5
ATG2B	20	11282.5
ATRIP	20	11282.5
B4GALT1	20	11282.5
BCKDK	20	11282.5
BEGAIN	20	11282.5
BICD1	20	11282.5
BPHL	20	11282.5
BTBD7	20	11282.5
BTN2A1	20	11282.5
BUB1B	20	11282.5
BZW2	20	11282.5
C1QTNF1	20	11282.5
C1R	20	11282.5
C6	20	11282.5
CALU	20	11282.5
CAMKV	20	11282.5
CARMIL1	20	11282.5
CCDC146	20	11282.5
CCDC62	20	11282.5
CCDC91	20	11282.5
CDK1	20	11282.5
CEP70	20	11282.5
CEP76	20	11282.5
CEP97	20	11282.5
CFAP69	20	11282.5
CHAMP1	20	11282.5
CIB2	20	11282.5
CLGN	20	11282.5
CLSTN1	20	11282.5
CNGB1	20	11282.5
CNIH4	20	11282.5
CNTNAP1	20	11282.5
COL26A1	20	11282.5
COMMD4	20	11282.5
CORO6	20	11282.5
CPSF4	20	11282.5
CRLS1	20	11282.5
CSF1R	20	11282.5
CTIF	20	11282.5
CXorf40A	20	11282.5
CXXC5	20	11282.5
DACT1	20	11282.5
DDX54	20	11282.5
DKC1	20	11282.5
DNAJC21	20	11282.5
DOP1B	20	11282.5
DSEL	20	11282.5
DYNC2LI1	20	11282.5
EDC4	20	11282.5
EFCAB6	20	11282.5
ELK3	20	11282.5
EPN2	20	11282.5
EVI5	20	11282.5
EXOSC10	20	11282.5
EZH1	20	11282.5
FAM118B	20	11282.5
FAM160B1	20	11282.5
FAM222B	20	11282.5
FANCL	20	11282.5
FBXL4	20	11282.5
FER1L5	20	11282.5
FGF8	20	11282.5
FIBP	20	11282.5
FLRT3	20	11282.5
FMO5	20	11282.5
FZD10	20	11282.5
GAB2	20	11282.5
GATAD2A	20	11282.5
GFAP	20	11282.5
GFRA2	20	11282.5
GH2	20	11282.5
GLCE	20	11282.5
GLDC	20	11282.5
GLS2	20	11282.5
GNPTAB	20	11282.5
GPAM	20	11282.5
GPSM1	20	11282.5
GRM6	20	11282.5
HDGF	20	11282.5
HIGD1A	20	11282.5
HNF4G	20	11282.5
HNRNPA1	20	11282.5
HOMER2	20	11282.5
HPSE	20	11282.5
HSD17B6	20	11282.5
HSP90AA1	20	11282.5
IKZF4	20	11282.5
IL11RA	20	11282.5
IL16	20	11282.5
INO80E	20	11282.5
INPP5D	20	11282.5
IRX4	20	11282.5
ITGA8	20	11282.5
ITGB8	20	11282.5
ITM2C	20	11282.5
ITPKB	20	11282.5
JAZF1	20	11282.5
KCNA4	20	11282.5
KCNJ3	20	11282.5
KCNU1	20	11282.5
KIAA0753	20	11282.5
KIAA0825	20	11282.5
KIAA1211	20	11282.5
KLHL4	20	11282.5
LCT	20	11282.5
LIG3	20	11282.5
LIG4	20	11282.5
LIPA	20	11282.5
LRIF1	20	11282.5
LRIG3	20	11282.5
LRRIQ1	20	11282.5
LY75-CD302	20	11282.5
MAG	20	11282.5
MAP3K21	20	11282.5
MAP3K3	20	11282.5
MAP4	20	11282.5
MAPK7	20	11282.5
MDH1	20	11282.5
MDM1	20	11282.5
MEF2D	20	11282.5
MGAT5	20	11282.5
MIOS	20	11282.5
MKNK1	20	11282.5
MKX	20	11282.5
MLF1	20	11282.5
MMP26	20	11282.5
MSRA	20	11282.5
MTO1	20	11282.5
MUC15	20	11282.5
MVP	20	11282.5
MX1	20	11282.5
MYCL	20	11282.5
MYD88	20	11282.5
NAA10	20	11282.5
NAPB	20	11282.5
NAT10	20	11282.5
NDFIP2	20	11282.5
NEK1	20	11282.5
NEK5	20	11282.5
NEXN	20	11282.5
NFE2	20	11282.5
NKX2-3	20	11282.5
NLGN2	20	11282.5
NLRP1	20	11282.5
NLRP12	20	11282.5
NOMO2	20	11282.5
NONO	20	11282.5
NOX1	20	11282.5
NXN	20	11282.5
PACSIN1	20	11282.5
PAH	20	11282.5
PCDHGA12	20	11282.5
PCMTD2	20	11282.5
PDPK1	20	11282.5
PGGT1B	20	11282.5
PHF23	20	11282.5
PHKA2	20	11282.5
PITPNC1	20	11282.5
PLA1A	20	11282.5
PLEKHA1	20	11282.5
PLEKHG4	20	11282.5
PLEKHH2	20	11282.5
PLXDC2	20	11282.5
POLR2E	20	11282.5
POLR3H	20	11282.5
PPEF1	20	11282.5
PPP6R1	20	11282.5
PRPSAP2	20	11282.5
PSMD12	20	11282.5
PSPC1	20	11282.5
PTBP3	20	11282.5
PTGES3L-AARSD1	20	11282.5
PTOV1	20	11282.5
PXYLP1	20	11282.5
RABGAP1	20	11282.5
RAD51D	20	11282.5
RANBP10	20	11282.5
RANBP3	20	11282.5
RAPGEFL1	20	11282.5
RBM23	20	11282.5
RBM33	20	11282.5
RCC2	20	11282.5
REL	20	11282.5
REXO2	20	11282.5
RHOH	20	11282.5
RLF	20	11282.5
RMDN1	20	11282.5
RNF10	20	11282.5
RNF121	20	11282.5
RNF14	20	11282.5
RNF170	20	11282.5
RNF182	20	11282.5
RNF31	20	11282.5
ROBO4	20	11282.5
RPL18A	20	11282.5
RPL23	20	11282.5
RPP40	20	11282.5
RRP12	20	11282.5
RUNX3	20	11282.5
RUVBL2	20	11282.5
SAE1	20	11282.5
SDHA	20	11282.5
SETX	20	11282.5
SF3B2	20	11282.5
SFI1	20	11282.5
SH3GLB1	20	11282.5
SHOC2	20	11282.5
SIRT5	20	11282.5
SLC22A1	20	11282.5
SLC22A8	20	11282.5
SLC24A3	20	11282.5
SLC25A25	20	11282.5
SLC25A29	20	11282.5
SLC25A39	20	11282.5
SLC30A6	20	11282.5
SLC38A9	20	11282.5
SLC41A3	20	11282.5
SLC44A4	20	11282.5
SLC52A3	20	11282.5
SLC9A8	20	11282.5
SLC9B2	20	11282.5
SNUPN	20	11282.5
SNX16	20	11282.5
SOGA1	20	11282.5
SORCS2	20	11282.5
SOS2	20	11282.5
SOX30	20	11282.5
SPG21	20	11282.5
SPHK2	20	11282.5
SPINK5	20	11282.5
SRPRA	20	11282.5
STAC	20	11282.5
STMN1	20	11282.5
SUFU	20	11282.5
SUGP2	20	11282.5
SYCP1	20	11282.5
SYT2	20	11282.5
TAF2	20	11282.5
TBC1D14	20	11282.5
TBC1D22A	20	11282.5
TBC1D24	20	11282.5
TDRD3	20	11282.5
TENT2	20	11282.5
THOC5	20	11282.5
THPO	20	11282.5
TLR2	20	11282.5
TM2D3	20	11282.5
TMEM131	20	11282.5
TMEM218	20	11282.5
TNFRSF11A	20	11282.5
TOP3A	20	11282.5
TOP3B	20	11282.5
TRIB2	20	11282.5
TRIM24	20	11282.5
TRIM73	20	11282.5
TRIM9	20	11282.5
TRMT6	20	11282.5
TSPAN4	20	11282.5
TTC13	20	11282.5
TTK	20	11282.5
TUSC3	20	11282.5
TYK2	20	11282.5
U2AF1	20	11282.5
UBA5	20	11282.5
UBA52	20	11282.5
UGDH	20	11282.5
UHRF1BP1	20	11282.5
URI1	20	11282.5
UTP23	20	11282.5
VCAM1	20	11282.5
VWF	20	11282.5
WDR24	20	11282.5
WDR59	20	11282.5
WDR62	20	11282.5
WDR70	20	11282.5
WEE1	20	11282.5
WIPI2	20	11282.5
WNT5B	20	11282.5
YME1L1	20	11282.5
ZAN	20	11282.5
ZBBX	20	11282.5
ZBTB1	20	11282.5
ZBTB21	20	11282.5
ZBTB22	20	11282.5
ZDHHC20	20	11282.5
ZDHHC5	20	11282.5
ZFP90	20	11282.5
ZIK1	20	11282.5
ZMYND15	20	11282.5
ZNF133	20	11282.5
ZNF174	20	11282.5
ZNF268	20	11282.5
ZSCAN29	20	11282.5
ABCC11	19	11057.5
AC005837.2	19	11057.5
AC091959.3	19	11057.5
ACTR3B	19	11057.5
ADGRG4	19	11057.5
ADGRL4	19	11057.5
AFTPH	19	11057.5
AGMO	19	11057.5
AGO3	19	11057.5
AIG1	19	11057.5
ARFGEF3	19	11057.5
ARGLU1	19	11057.5
ARPP19	19	11057.5
ASIC1	19	11057.5
B3GNT5	19	11057.5
C2CD6	19	11057.5
CALCRL	19	11057.5
CCDC110	19	11057.5
CCDC88C	19	11057.5
CDC40	19	11057.5
CEMIP2	19	11057.5
CILP	19	11057.5
CLCN6	19	11057.5
CLK4	19	11057.5
CNGA2	19	11057.5
COL1A1	19	11057.5
COPS4	19	11057.5
