Gene.Symbol	Freq	Rank.Muts
RPS6KC1	140	15600
FOXA1	139	15595
FBN2	138	15592
GRIA1	138	15592
SDK1	138	15592
SEPT9	138	15592
ST7	138	15592
CHEK2	137	15588
EPHA3	137	15588
PRRC2C	137	15588
APP	136	15582
FGFR4	136	15582
MYO6	136	15582
PCDH18	136	15582
PLCH1	136	15582
PROX1	136	15582
PTPN13	136	15582
TUBD1	136	15582
XPO1	136	15582
ACIN1	135	15574.5
CDH12	135	15574.5
PHLDB2	135	15574.5
PLXNA4	135	15574.5
RPGRIP1L	135	15574.5
SULF1	135	15574.5
CDC27	134	15568
DNAH9	134	15568
DSE	134	15568
EPS8	134	15568
GRIK1	134	15568
MAGI1	134	15568
MSI2	134	15568
BARD1	133	15563.5
DDR1	133	15563.5
CREBBP	132	15560
HOXB3	132	15560
MAP2	132	15560
NELL1	132	15560
SCN10A	132	15560
SORCS1	131	15557
AGBL4	130	15554.5
BRCA2	130	15554.5
DOCK8	130	15554.5
MYO3A	130	15554.5
HPSE2	129	15550.5
MTOR	129	15550.5
OPRM1	129	15550.5
SMARCA2	129	15550.5
ALK	128	15546
HNF1A	128	15546
PBX1	128	15546
RAPGEF4	128	15546
TRRAP	128	15546
CRB1	127	15542
SF3B1	127	15542
SORBS2	127	15542
COL25A1	126	15537
IMMP2L	126	15537
KIAA1109	126	15537
MET	126	15537
NCOA1	126	15537
RALYL	126	15537
SLC12A6	126	15537
CD36	125	15529.5
CIT	125	15529.5
DNM1	125	15529.5
DOCK9	125	15529.5
FYN	125	15529.5
ILF3	125	15529.5
PDE1C	125	15529.5
ZSWIM8	125	15529.5
ADGRB3	124	15519
AKAP6	124	15519
ATRX	124	15519
BCLAF1	124	15519
C11orf65	124	15519
CACNA2D4	124	15519
CNTN4	124	15519
EWSR1	124	15519
FAM13C	124	15519
MAX	124	15519
NFE2L1	124	15519
PIEZO2	124	15519
SPTA1	124	15519
GRID2	123	15510.5
KALRN	123	15510.5
NCOR2	123	15510.5
SHANK2	123	15510.5
DLGAP4	122	15504
DNAH6	122	15504
GRIA2	122	15504
MARF1	122	15504
MON2	122	15504
MYCBP2	122	15504
NHS	122	15504
NUMA1	122	15504
PHF20L1	122	15504
DENND1A	121	15497.5
GAPVD1	121	15497.5
MYO9A	121	15497.5
RIF1	121	15497.5
AHNAK	120	15490.5
CEP170	120	15490.5
DLGAP1	120	15490.5
DMXL2	120	15490.5
KIRREL3	120	15490.5
NRXN2	120	15490.5
PGAP2	120	15490.5
SETD2	120	15490.5
SLC4A5	120	15490.5
SLIT3	120	15490.5
RERE	119	15485
ATP2B1	118	15482
IKZF3	118	15482
MAPKAP1	118	15482
RSBN1	118	15482
STAU1	118	15482
AC116366.3	117	15476.5
ELAVL4	117	15476.5
INPP4A	117	15476.5
KTN1	117	15476.5
POGZ	117	15476.5
THSD7B	117	15476.5
ADGRG6	116	15470
DLC1	116	15470
MBNL1	116	15470
PRDM2	116	15470
RBM10	116	15470
SEZ6L	116	15470
SLC4A4	116	15470
ADGRV1	115	15464
DACH1	115	15464
MRTFB	115	15464
SCN8A	115	15464
STRADA	115	15464
ANK1	114	15456.5
ARHGEF7	114	15456.5
LYST	114	15456.5
MCTP1	114	15456.5
PCDHA5	114	15456.5
PIK3CG	114	15456.5
RGS6	114	15456.5
RHOT1	114	15456.5
SMAD2	114	15456.5
TPM3	114	15456.5
CASP8	113	15450.5
GRAMD1B	113	15450.5
ADGRB2	112	15444.5
ARHGEF28	112	15444.5
CADM2	112	15444.5
HECTD4	112	15444.5
KCNQ2	112	15444.5
MAP3K4	112	15444.5
NFATC1	112	15444.5
PFKM	112	15444.5
SPTBN4	112	15444.5
YAP1	112	15444.5
FLT1	111	15436.5
GABRB3	111	15436.5
KAT6A	111	15436.5
PCDHGA1	111	15436.5
TAF1	111	15436.5
TNRC6B	111	15436.5
AGTR1	110	15427.5
BAZ2B	110	15427.5
GRB10	110	15427.5
HDLBP	110	15427.5
RTN4	110	15427.5
SLC6A1	110	15427.5
TBC1D31	110	15427.5
TET2	110	15427.5
TNS1	110	15427.5
UNC80	110	15427.5
VCAN	110	15427.5
WT1	110	15427.5
CAMKK2	109	15418
FHL1	109	15418
HMCN1	109	15418
MARK2	109	15418
NR3C2	109	15418
PIK3C2G	109	15418
SETD5	109	15418
CNTNAP4	108	15408
CTNNBL1	108	15408
DNAH17	108	15408
EDNRB	108	15408
FXR1	108	15408
LRP1B	108	15408
MED24	108	15408
MPP2	108	15408
PCDHA4	108	15408
POLE	108	15408
PRKCB	108	15408
SPEN	108	15408
TLE4	108	15408
BCL2L11	107	15400
MYO7A	107	15400
STAT3	107	15400
AR	106	15397.5
NRG2	106	15397.5
LINGO2	105	15393
MYO15A	105	15393
NSD3	105	15393
PCDHGA2	105	15393
PDZRN4	105	15393
STAU2	105	15393
SUPT5H	105	15393
CDH13	104	15385
CTNNA1	104	15385
DOCK11	104	15385
MYO16	104	15385
NRP2	104	15385
OXR1	104	15385
PRDM16	104	15385
TJP1	104	15385
UBAP2L	104	15385
FAM49B	103	15377.5
LAMA4	103	15377.5
LIMS2	103	15377.5
PRUNE2	103	15377.5
TACC1	103	15377.5
TP53BP1	103	15377.5
AGAP1	102	15368
ATR	102	15368
CCDC178	102	15368
CDK12	102	15368
CDK14	102	15368
KCNH1	102	15368
KCNJ15	102	15368
KIAA0100	102	15368
MBD1	102	15368
SLC12A1	102	15368
SLC1A2	102	15368
SPOCK3	102	15368
TRIO	102	15368
CAMSAP2	101	15358
DNAH10	101	15358
INPP4B	101	15358
JMJD1C	101	15358
LRP1	101	15358
SLC12A5	101	15358
SPAG9	101	15358
DNAH14	100	15350
FHOD3	100	15350
L3MBTL3	100	15350
LDB2	100	15350
NIPBL	100	15350
PRKDC	100	15350
TRPM6	100	15350
WDR7	100	15350
ZNF644	100	15350
ANKRD17	99	15341.5
BACH2	99	15341.5
CHD7	99	15341.5
DCLK1	99	15341.5
ELMO1	99	15341.5
FAT4	99	15341.5
HIVEP3	99	15341.5
NLGN3	99	15341.5
ATP7B	98	15333
BTBD9	98	15333
CA10	98	15333
ENPP2	98	15333
GABRA1	98	15333
LGI1	98	15333
NCOA6	98	15333
PUM1	98	15333
ZC3H14	98	15333
CACNA2D2	97	15326
MEGF11	97	15326
NUMB	97	15326
PCSK5	97	15326
YWHAZ	97	15326
ABCB7	96	15317
COL14A1	96	15317
DYNC1I2	96	15317
KCNC2	96	15317
KIF21B	96	15317
MYO18A	96	15317
NCOA3	96	15317
PCDHGA3	96	15317
PRKCQ	96	15317
PUM2	96	15317
TRIP12	96	15317
UNC13A	96	15317
USF3	96	15317
ADAMTS20	95	15304.5
CAST	95	15304.5
GHR	95	15304.5
GOLGA3	95	15304.5
HIVEP1	95	15304.5
KIF16B	95	15304.5
MBD5	95	15304.5
MYT1L	95	15304.5
NKAIN2	95	15304.5
PPHLN1	95	15304.5
RET	95	15304.5
TNRC6C	95	15304.5
AMOT	94	15294
CECR2	94	15294
DNM3	94	15294
IQSEC2	94	15294
MFSD11	94	15294
MITF	94	15294
PIK3CB	94	15294
SPOP	94	15294
SUCO	94	15294
ASXL2	93	15281.5
ATP2B3	93	15281.5
CACNA1F	93	15281.5
CNTRL	93	15281.5
CSNK2A1	93	15281.5
DIAPH1	93	15281.5
GRM8	93	15281.5
KIFC3	93	15281.5
MEGF8	93	15281.5
MYH10	93	15281.5
MYLK	93	15281.5
NRG3	93	15281.5
NT5C3A	93	15281.5
OSBPL6	93	15281.5
PRDM10	93	15281.5
RALGAPB	93	15281.5
BBS9	92	15270
BBX	92	15270
HIPK1	92	15270
LRRTM4	92	15270
SRCAP	92	15270
ZFP64	92	15270
ZNF532	92	15270
ACVR1B	91	15263
ESR2	91	15263
IQGAP2	91	15263
MLLT10	91	15263
NELL2	91	15263
RSRC1	91	15263
SMARCE1	91	15263
AC058822.1	90	15253.5
AMBRA1	90	15253.5
C2CD5	90	15253.5
CLN3	90	15253.5
CNTN1	90	15253.5
GREB1L	90	15253.5
HECTD1	90	15253.5
LMO7	90	15253.5
OTOGL	90	15253.5
PCDHA2	90	15253.5
PI4KB	90	15253.5
SVIL	90	15253.5
CLASP1	89	15246
LRRC4C	89	15246
MYO10	89	15246
ANKHD1	88	15239.5
AURKA	88	15239.5
GABRA2	88	15239.5
LHCGR	88	15239.5
PBX3	88	15239.5
PCDHA6	88	15239.5
RGS7	88	15239.5
TRIM46	88	15239.5
UBTF	88	15239.5
