Gene.Symbol	Total.CN.Gain	Total.CN.Loss	Total.CN	Rank.CN
NUDCD1	4138	4	4142	19142
SLCO5A1	4107	30	4137	19141
SNX31	4119	14	4133	19140
COMMD5	4080	52	4132	19138
RPL8	4080	52	4132	19138
UBE2W	4095	30	4125	19136
AP3M2	4064	60	4124	19135
TBX4	4040	76	4116	19134
ALG8	4084	21	4105	19132
MYB	3809	286	4095	19130
LITAF	3995	91	4086	19127.5
TRHR	4082	4	4086	19127.5
UCHL5	4070	15	4085	19126
NFE2L1	3971	112	4083	19125
TG	4036	34	4070	19124
KCNQ2	3900	160	4060	19123
CALCOCO2	3990	65	4055	19122
C8orf89	4014	30	4044	19118.5
VPS28	3992	52	4044	19118.5
ACER3	3955	81	4036	19117
TPD52L2	3888	144	4032	19116
RNF19A	4016	14	4030	19115
PENK	3980	44	4024	19114
PC	3966	40	4006	19113
PIGN	3484	520	4004	19112
MR1	3972	18	3990	19110
DLG2	3736	247	3983	19109
PLXDC1	3957	24	3981	19108
EPB41L2	3642	330	3972	19105
ASAP1	3926	34	3960	19104
CEP112	3857	88	3945	19102
ACSF2	3876	60	3936	19100.5
SUPT4H1	3845	72	3917	19098
CYBC1	3584	322	3906	19096
POLR2K	3888	14	3902	19095
C8orf44	3864	30	3894	19093
ZNF124	3868	24	3892	19091.5
ZNF669	3868	24	3892	19091.5
ACE	3792	76	3868	19090
MYBL1	3837	30	3867	19089
NPL	3828	18	3846	19087
SLCO2B1	3715	130	3845	19086
LASP1	3810	24	3834	19084
SLC45A4	3786	45	3831	19083
LUC7L3	3754	60	3814	19082
KLF10	3788	12	3800	19081
ODF1	3787	12	3799	19080
CLN3	3660	135	3795	19078
STAU1	3717	77	3794	19077
AZIN1	3774	12	3786	19075
PAX6	3612	168	3780	19073.5
TMEM67	3740	20	3760	19071.5
KCNJ16	3588	168	3756	19070
RNF170	3688	65	3753	19069
ATP6V1H	3712	40	3752	19068
HHLA1	3708	34	3742	19067
KHDRBS3	3696	30	3726	19066
PROX1	3716	8	3724	19065
FSBP	3682	20	3702	19061.5
RAD54B	3682	20	3702	19061.5
NIPAL2	3698	2	3700	19060
TP53INP1	3692	6	3698	19059
VIRMA	3672	20	3692	19057
PLEKHF2	3682	2	3684	19054
ADNP	3624	56	3680	19052
NAA60	3588	91	3679	19051
GSDMC	3640	34	3674	19050
PAAF1	3603	70	3673	19049
GEM	3650	20	3670	19048
STXBP4	3573	96	3669	19047
RGS20	3628	40	3668	19046
KCNS2	3664	2	3666	19045
PTDSS1	3657	2	3659	19042
PDE7A	3625	30	3655	19041
ERICH5	3644	2	3646	19039.5
POP1	3644	2	3646	19039.5
LRRC69	3622	18	3640	19038
ST3GAL3	3408	231	3639	19037
MTDH	3632	2	3634	19036
OR2AT4	3491	130	3621	19035
OSBPL2	3554	63	3617	19034
SLC6A1	3360	252	3612	19033
NEUROD2	3592	17	3609	19032
CPT1A	3561	40	3601	19030
SPIDR	3534	45	3579	19028
PCMTD1	3536	40	3576	19027
LRRC37A3	3480	90	3570	19026
PITPNC1	3509	60	3569	19025
KCNU1	3496	72	3568	19023.5
SPATA20	3508	60	3568	19023.5
ASAH1	2140	1418	3558	19021
NBN	3536	16	3552	19020
PIP4P2	3532	18	3550	19018.5
DECR1	3528	16	3544	19017
PTPRC	3524	16	3540	19016
PTPRB	3466	72	3538	19015
ATP6V1G3	3516	16	3532	19014
CALB1	3508	16	3524	19012
ADGRB1	3477	42	3519	19011
CHD7	3483	30	3513	19010
KMO	3501	6	3507	19008.5
LYNX1	3462	42	3504	19006.5
POLD4	3468	36	3504	19006.5
ATG5	3340	144	3484	19005
CFHR4	3457	25	3482	19003.5
TEX2	3410	72	3482	19003.5
CD24	3355	120	3475	19001.5
SERPINH1	3440	35	3475	19001.5
TTC23	3423	50	3473	19000
CLVS1	3429	36	3465	18999
NFATC4	3120	336	3456	18998
CSH1	3372	72	3444	18995.5
EPS8	3332	112	3444	18995.5
KCNT2	3424	12	3436	18994
NAT9	3231	198	3429	18993
CCDC47	3348	80	3428	18991.5
DNM3	3408	15	3423	18990
METTL23	3179	242	3421	18989
CYP11B1	3366	42	3408	18984
GDPD1	3357	45	3402	18982.5
PLEKHB1	3342	60	3402	18982.5
PSMC5	3312	80	3392	18980.5
SMARCD2	3312	80	3392	18980.5
FCRLB	3385	0	3385	18979
EGFR	3349	35	3384	18977.5
IFT20	3344	32	3376	18974.5
C19orf12	3354	18	3372	18973
PPDPFL	3324	40	3364	18972
ZNF696	3321	42	3363	18971
SUCO	3325	15	3340	18969
CHML	3324	6	3330	18965
SMG8	3282	48	3330	18965
LPO	3256	72	3328	18963
ARFRP1	3213	112	3325	18961.5
TEX35	3310	15	3325	18961.5
GSDMD	3282	42	3324	18960
KMT5B	3287	36	3323	18959
PRG4	3308	12	3320	18958
TCF4	2755	560	3315	18957
RAB2A	3279	30	3309	18956
PPFIA1	3287	8	3295	18954
IL15RA	3252	36	3288	18951
HLF	3205	80	3285	18950
SMYD3	3254	23	3277	18949
EXOC7	3073	198	3271	18948
ZMAT4	3224	42	3266	18947
ARL17B	3104	147	3251	18944
NAPRT	3207	42	3249	18942.5
ZNF623	3207	42	3249	18942.5
HMOX2	3150	90	3240	18940
ANAPC15	3124	110	3234	18937.5
CNBD1	3218	16	3234	18937.5
RGS9	3145	80	3225	18935.5
COL22A1	3193	30	3223	18934
PLD5	3195	15	3210	18933
ARAP1	3139	70	3209	18932
TRAPPC9	3172	34	3206	18931
MAPK15	3162	42	3204	18930
FCHSD2	3143	60	3203	18929
SCRIB	3162	39	3201	18928
MSRB3	3104	88	3192	18927
PHOSPHO1	3147	39	3186	18926
ANKRD13D	3155	30	3185	18925
EXO1	3171	6	3177	18924
CATSPERE	3150	21	3171	18923
RAE1	3132	36	3168	18922
PMP2	3146	18	3164	18921
TPCN2	3138	24	3162	18920
RAB37	2961	198	3159	18919
FABP5	3138	18	3156	18918
CPSF6	3104	48	3152	18917
GLUL	3135	15	3150	18916
WWP1	3118	20	3138	18912.5
OSCAR	2970	165	3135	18911
CYP24A1	3096	24	3120	18910
MAF1	3066	39	3105	18907.5
PARP10	3066	39	3105	18907.5
PDK2	3057	45	3102	18906
ZNF517	3060	39	3099	18905
EFCAB2	3072	21	3093	18904
AXIN2	3012	80	3092	18903
KCNK9	3059	30	3089	18902
SOX5	3038	49	3087	18901
LRRCC1	3058	26	3084	18900
ETFRF1	3069	9	3078	18899
TEX14	3021	54	3075	18898
SLC7A13	3052	20	3072	18897
MIF4GD	2888	176	3064	18895
RNPS1	2990	70	3060	18894
C17orf80	2905	154	3059	18893
ZNF16	3012	42	3054	18892
DDX5	2976	72	3048	18890.5
MYO18A	3032	16	3048	18890.5
PPM1D	3006	34	3040	18889
ENDOV	2794	242	3036	18886.5
MCRIP1	2805	231	3036	18886.5
CREM	2948	87	3035	18885
CPSF1	2994	39	3033	18884
FXYD3	2963	65	3028	18883
B4GALNT2	2976	39	3015	18882
CEP57L1	2720	290	3010	18881
PCTP	2925	80	3005	18879.5
SPTBN2	2970	35	3005	18879.5
RPL28	2869	135	3004	18878
TSKU	2976	24	3000	18877
CARHSP1	2945	50	2995	18876
RAB6A	2940	50	2990	18875
KCTD14	2969	14	2983	18872.5
MRPL48	2933	50	2983	18872.5
FDXR	2792	176	2968	18867.5
MILR1	2896	72	2968	18867.5
RBM4B	2930	35	2965	18866
CNST	2943	18	2961	18864
SNX11	2880	80	2960	18863
DLX4	2901	51	2952	18858.5
LRRC32	2925	24	2949	18857
GAB2	2929	14	2943	18856
UBE2V2	2903	36	2939	18854
ALDH3B1	2907	30	2937	18853
ARSG	2869	60	2929	18852
DHX40	2894	34	2928	18851
PLAG1	2892	30	2922	18849.5
RSF1	2903	14	2917	18848
CSNK2A1	2850	63	2913	18847
OR6F1	2892	18	2910	18846
OR2L13	2889	18	2907	18843.5
OR2L2	2889	18	2907	18843.5
OR2L3	2889	18	2907	18843.5
SMIM22	2826	81	2907	18843.5
SDR16C5	2874	30	2904	18841
IL18BP	2808	90	2898	18840
MFSD11	2699	198	2897	18839
OARD1	2796	96	2892	18836.5
ZFHX4	2864	20	2884	18833
RASGRP4	2808	72	2880	18831
HNF4G	2852	26	2878	18830
IDO2	2834	42	2876	18829
RBM14	2840	35	2875	18828
RAD51C	2816	54	2870	18826
CFH	2858	9	2867	18825
OR2B11	2847	18	2865	18823.5
C17orf58	2802	60	2862	18822
ZMYND11	2821	39	2860	18821
ANKRD40CL	2814	45	2859	18820
SIPA1L2	2855	0	2855	18819
SLC16A6	2794	60	2854	18818
NCF2	2840	12	2852	18817
LMO3	2743	104	2847	18816
ABCC3	2793	45	2838	18811
PTPRR	2762	75	2837	18810
SRSF1	2764	72	2836	18809
PTPRT	2762	70	2832	18806.5
MBTD1	2786	45	2831	18805
HNF1B	2775	54	2829	18803
OR2M2	2811	18	2829	18803
NME1-NME2	2769	45	2814	18797.5
GDAP1	2790	22	2812	18796
RP1	2779	30	2809	18795
EME1	2760	45	2805	18793
SLC20A2	2760	44	2804	18792
KDM2A	2772	24	2796	18788.5
LY96	2772	22	2794	18786
PEX5L	2631	153	2784	18784
SYNM	2742	40	2782	18783
BCAS1	2762	16	2778	18782
AGO2	2744	30	2774	18780.5
ERC1	2739	35	2774	18780.5
PDE2A	2712	60	2772	18778.5
SMARCA4	2664	108	2772	18778.5
CD300LF	2589	176	2765	18777
PI15	2738	22	2760	18776
CUEDC1	2684	72	2756	18774.5
TMEM70	2734	22	2756	18774.5
ABCA8	2665	88	2753	18773
AP4S1	2632	120	2752	18771.5
RDH10	2732	20	2752	18771.5
IDO1	2706	42	2748	18770
LRRC3C	2743	4	2747	18769
CHRAC1	2704	30	2734	18768
SLC2A14	2665	54	2719	18766
FAM107B	2695	22	2717	18764
MYRFL	2668	48	2716	18763
MYCBPAP	2670	45	2715	18762
WNK1	2678	35	2713	18761
OR2T2	2691	18	2709	18759.5
C1QTNF1	2480	220	2700	18757.5
TERF1	2680	20	2700	18757.5
GDPD4	2686	10	2696	18755
OR2G6	2676	18	2694	18754
TOR1AIP1	2676	12	2688	18753
MAZ	2650	30	2680	18752
IRF3	2562	112	2674	18751
SMARCA2	2341	316	2657	18749
ZNF692	2637	18	2655	18748
LAMB3	2643	3	2646	18746
XKR9	2624	20	2644	18745
ADHFE1	2622	20	2642	18744
LACTB2	2620	20	2640	18742.5
VDAC3	2598	42	2640	18742.5
OR2T27	2616	18	2634	18741
NARS2	2618	14	2632	18740
ASPM	2622	9	2631	18739
TMBIM4	2536	88	2624	18737
PSMD3	2617	4	2621	18735
ZNF217	2602	16	2618	18733
COPS5	2592	20	2612	18731
CSPP1	2592	20	2612	18731
PPP1R42	2592	20	2612	18731
SPCS2	2506	104	2610	18728.5
SYNE1	2250	356	2606	18726
TRAM1	2582	20	2602	18725
ZNF419	2424	171	2595	18722.5
GVQW3	2564	30	2594	18721
DENND1B	2581	9	2590	18720
CD79B	2529	54	2583	18716.5
LRRC28	2540	40	2580	18715
ZNF703	2542	24	2566	18713
CCND3	2498	64	2562	18712
TACC2	2365	195	2560	18710
NRG3	2494	63	2557	18709
SELP	2552	4	2556	18708
HKR1	2486	66	2552	18705.5
KSR1	2528	24	2552	18705.5
RGS8	2532	12	2544	18704
KIAA0040	2520	12	2532	18700.5
PLPBP	2506	25	2531	18699
HBS1L	2337	176	2513	18697
VPS35L	2488	24	2512	18696
YPEL2	2480	30	2510	18695
ZNF415	2316	180	2496	18689
CACYBP	2480	12	2492	18687
CHD4	2460	30	2490	18685.5
NOP2	2460	30	2490	18685.5
ODR4	2475	9	2484	18684
EIF4G1	2288	195	2483	18683
AC138647.1	2454	26	2480	18681
TRAF4	2464	16	2480	18681
MKS1	2418	54	2472	18677.5
EFCAB1	2442	27	2469	18676
CACNA2D4	2412	52	2464	18674.5
COCH	2359	105	2464	18674.5
COX11	2400	60	2460	18673
UBE2I	2392	64	2456	18672
CACNB2	2409	42	2451	18671
JPT1	2289	161	2450	18670
ZBTB37	2437	12	2449	18669
EIF4EBP1	2423	22	2445	18668
CSMD1	1902	538	2440	18667
PCSK6	2333	104	2437	18666
PTHLH	2429	7	2436	18665
CACNA1A	2336	96	2432	18664
DIDO1	2375	49	2424	18663
AARD	2414	9	2423	18662
ZBP1	2392	30	2422	18661
ALDOA	2394	27	2421	18660
EXT1	2411	9	2420	18659
GIT1	2348	68	2416	18657
TANC2	2375	38	2413	18656
PRRT2	2385	27	2412	18654.5
SEZ6	2396	16	2412	18654.5
TNNT1	2288	120	2408	18653
MTFR1	2384	20	2404	18651
MEF2A	2340	60	2400	18649.5
ZGPAT	2320	80	2400	18649.5
PDXDC1	2355	40	2395	18648
FCAR	2259	135	2394	18647
BMP7	2361	27	2388	18645
SUMF2	2352	35	2387	18644
ARMC1	2364	20	2384	18642.5
DUSP13	2320	64	2384	18642.5
USH2A	2382	1	2383	18640.5
BRIP1	2339	38	2377	18639
MRGPRF	2355	18	2373	18638
CCND1	2362	8	2370	18637
CHRM3	2364	4	2368	18636
MBNL1	2226	140	2366	18634.5
WT1	2310	56	2366	18634.5
STAR	2340	24	2364	18633
FXYD5	2317	45	2362	18632
ADRB3	2338	23	2361	18630.5
PSMA6	2232	120	2352	18625.5
RASSF8	2345	7	2352	18625.5
PSCA	2318	28	2346	18624
ZNF814	2168	176	2344	18623
PTPRD	2100	239	2339	18622
LYNX1-SLURP2	2308	28	2336	18621
ARFGAP1	2292	42	2334	18620
SFRP1	2290	42	2332	18618.5
TP63	2222	110	2332	18618.5
SSH2	2270	61	2331	18616.5
THAP6	2241	90	2331	18616.5
ZNF652	2300	26	2326	18615
SPO11	2298	27	2325	18614
WDR64	2313	4	2317	18613
HOXB1	2274	42	2316	18611.5
LYZ	2280	36	2316	18611.5
CDH23	2234	80	2314	18610
FRS2	2277	36	2313	18609
MTBP	2298	9	2307	18608
CORO6	2228	76	2304	18606
NDUFV1	2280	24	2304	18606
RBM38	2277	27	2304	18606
CD59	2251	50	2301	18603.5
CTNNB1	1560	741	2301	18603.5
FER1L6	2286	13	2299	18602
SLC25A19	2166	132	2298	18601
CCN3	2287	9	2296	18599.5
COLEC10	2285	9	2294	18598
CLPB	2220	72	2292	18597
ZNF544	2046	242	2288	18596
MAP6	2263	24	2287	18595
CEP95	2232	54	2286	18594
SRCIN1	2266	12	2278	18592
MRPL13	2266	9	2275	18590.5
DBNDD2	2232	40	2272	18588.5
PIGT	2232	40	2272	18588.5
UBALD1	2205	63	2268	18586
CFHR1	2260	6	2266	18585
LYRM9	2235	30	2265	18583
TAF2	2256	9	2265	18583
TNFRSF11B	2254	9	2263	18581
MRPL21	2244	18	2262	18579.5
MDM1	2212	48	2260	18577
CD9	2214	45	2259	18575
SEC61A2	2240	12	2252	18572.5
HDAC9	2146	99	2245	18570
ZFP41	2214	28	2242	18569
MXRA7	2086	154	2240	18568
PRR11	2207	32	2239	18567
TGFB2	2236	2	2238	18565.5
ACACA	2189	46	2235	18562.5
SLC29A2	2200	35	2235	18562.5
DSCC1	2225	9	2234	18560.5
ESR1	2002	232	2234	18560.5
OPA1	2101	132	2233	18558.5
PKIB	2033	200	2233	18558.5
GRB2	2094	138	2232	18556.5
ZNF772	2080	152	2232	18556.5
RPL23A	2208	16	2224	18555
LYPLAL1	2208	2	2210	18552
SEC14L1	2053	154	2207	18551
TMC5	2177	29	2206	18550
DOK5	2188	16	2204	18548.5
ZNF572	2192	12	2204	18548.5
EFHC1	2060	143	2203	18547
PRLR	2168	33	2201	18546
DTNA	1940	260	2200	18544.5
SLC12A5	2160	40	2200	18544.5
RNF139	2187	12	2199	18542.5
TRMT12	2187	12	2199	18542.5
NSMAF	2176	20	2196	18541
ZSCAN32	2136	56	2192	18540
FAM117A	2162	26	2188	18539
FAM104A	2075	110	2185	18538
FAM168A	2148	33	2181	18535.5
NPEPL1	2151	30	2181	18535.5
TMEM65	2169	12	2181	18535.5
DCLRE1C	2160	20	2180	18533
HMGA2	2102	77	2179	18532
ZNF83	2024	154	2178	18531
WBP2	2040	132	2172	18529.5
XRRA1	2094	78	2172	18529.5
RAD52	2141	30	2171	18528
B9D1	1870	300	2170	18527
UBXN2B	2148	20	2168	18526
CYTH1	2034	132	2166	18524.5
TSTA3	2138	28	2166	18524.5
HAS2	2154	9	2163	18523
ZNF331	2040	120	2160	18522
FAM84B	2143	15	2158	18521
SYNRG	2094	60	2154	18520
ZC3H11B	2150	2	2152	18519
CD44	2110	40	2150	18518
ASTN1	2139	9	2148	18516
ATP5F1E	2124	24	2148	18516
ZNF568	2100	48	2148	18516
BAIAP3	2093	49	2142	18513.5
