Gene.Symbol	Total.CN.Gain	Total.CN.Loss	Total.CN	Rank.CN
IKZF3	54970	493	55463	19522
SYBU	34833	34	34867	19521
FGFR1	28983	288	29271	19520
ERBB2	26687	119	26806	19519
RUNX1T1	25479	140	25619	19518
CACNA1G	24162	390	24552	19517
TRIQK	24410	130	24540	19516
YWHAZ	23328	72	23400	19515
STRADA	21278	460	21738	19514
FAM49B	20689	187	20876	19513
GSDMB	19194	24	19218	19511
PGAP3	19090	85	19175	19510
PPP1R1B	18410	85	18495	19509
TACC1	18154	192	18346	19508
GRB7	18260	85	18345	19507
PTK2	17671	195	17866	19506
ERLIN2	17675	170	17845	19505
ASPH	16771	167	16938	19503
EYA1	16668	130	16798	19502
MYC	16681	98	16779	19501
STAU2	16336	120	16456	19499
ESRRG	16376	0	16376	19498
LY6E	15904	196	16100	19497
SHANK2	15964	29	15993	19496
TRPS1	15666	6	15672	19495
PHF20L1	15412	136	15548	19494
ZNF706	15352	48	15400	19493
BCAS3	15035	189	15224	19492
SNTG1	14976	223	15199	19491
COX6C	15032	56	15088	19490
STARD3	14996	68	15064	19489
MED24	14868	24	14892	19488
LETM2	14550	144	14694	19487
EEF1D	13897	182	14079	19486
AAMDC	13293	63	13356	19483
TUBD1	12728	136	12864	19482
CTCFL	12672	160	12832	19481
ELOC	12393	99	12492	19480
NCALD	12153	36	12189	19479
CSF3	12073	20	12093	19478
C8orf59	11920	104	12024	19477
DCAF13	11901	36	11937	19476
ORMDL3	11872	16	11888	19475
PLPP5	11755	120	11875	19474
KCNMA1	11256	593	11849	19473
FBXL20	11692	86	11778	19472
ZFAT	11560	102	11662	19471
RALYL	11559	91	11650	19470
ENPP2	11494	45	11539	19469
MTSS1	11448	65	11513	19468
TPD52	11437	63	11500	19467
NDRG1	11256	102	11358	19466
FAM92A	11271	60	11331	19465
PNMT	11262	51	11313	19464
RIMS2	11224	22	11246	19463
TATDN1	11140	60	11200	19462
NSMCE2	11130	66	11196	19461
ESRP1	10926	72	10998	19459
ZFAND1	10829	63	10892	19458
TBC1D31	10540	65	10605	19457
THRA	10509	20	10529	19456
DERL1	10422	65	10487	19455
SMARCE1	10340	80	10420	19454
ANKRD46	10203	35	10238	19453
EBAG9	10200	10	10210	19452
NSD3	10087	96	10183	19451
RAB11FIP1	10039	95	10134	19450
BAALC	9857	30	9887	19448
SLC30A8	9820	36	9856	19447
MDM2	9615	240	9855	19446
CHCHD7	9640	100	9740	19445
ASH2L	9648	88	9736	19444
RAD21	9664	36	9700	19443
DDHD2	9584	96	9680	19442
CYB561	9440	190	9630	19441
LRRC6	9519	85	9604	19440
SLC26A7	9539	60	9599	19439
COL14A1	9557	36	9593	19438
SLA	9501	85	9586	19437
RRM2B	9463	30	9493	19435
ZPBP2	9453	12	9465	19434
GNAS	9290	130	9420	19433
PLEC	9198	117	9315	19431
MAL2	9269	36	9305	19430
MATN2	9265	5	9270	19429
OSR2	9150	5	9155	19428
CA1	8928	78	9006	19427
YTHDF3	8848	96	8944	19426
SEPT4	8760	180	8940	19425
NDUFB9	8821	49	8870	19424
PLEKHA2	8756	88	8844	19423
RPS20	8676	90	8766	19422
SDCBP	8664	80	8744	19421
ZBTB10	8690	45	8735	19420
UNC5D	8441	285	8726	19419
WDYHV1	8445	52	8497	19418
FAM83A	8356	52	8408	19416
ANK1	8168	129	8297	19414
CACNA1C	8059	214	8273	19413
CACNB1	8234	36	8270	19412
TCEA1	8119	90	8209	19410
ADAM2	8045	120	8165	19409
RGS22	8092	28	8120	19408
CSMD3	8058	3	8061	19407
EMSY	7962	94	8056	19406
VPS13B	7985	22	8007	19405
RPL19	7948	36	7984	19404
SGK3	7878	60	7938	19403
PABPC1	7892	24	7916	19402
CTHRC1	7864	24	7888	19401
SPAG1	7816	28	7844	19400
KCNQ3	7650	68	7718	19398
TMEM68	7636	80	7716	19397
AMZ2	7546	160	7706	19396
IL32	7506	189	7695	19395
CCN4	7624	68	7692	19394
UBR5	7652	24	7676	19393
GCSAML	7592	48	7640	19391.5
NLRP3	7592	48	7640	19391.5
TCAP	7527	34	7561	19390
BRF2	7439	69	7508	19389
ATP6V1C1	7440	24	7464	19388
IL7	7405	50	7455	19387
PDP1	7336	40	7376	19385
MIEN1	7278	34	7312	19383
UTP23	7264	19	7283	19382
ZNF7	7140	91	7231	19381
EIF3H	7218	3	7221	19380
RPL30	7216	4	7220	19379
SDC2	7204	4	7208	19378
RAP1B	7008	192	7200	19377
HNRNPU	7119	49	7168	19376
CLNS1A	7101	35	7136	19375
UQCRB	7096	4	7100	19374
MTERF3	7092	4	7096	19373
SKA2	6984	96	7080	19372
SLC52A2	6986	91	7077	19371
C8orf34	7026	50	7076	19370
OTUD6B	7036	36	7072	19369
LTO1	7026	24	7050	19368
RABGAP1L	6965	33	6998	19367
NDUFC2	6930	35	6965	19366
ZFPM2	6943	0	6943	19365
TOM1L1	6756	160	6916	19364
MAPK10	5869	1044	6913	19363
SULF1	6860	50	6910	19362
MSL1	6860	16	6876	19361
HOXB3	6700	126	6826	19360
IKBKB	6681	98	6779	19359
ADAM32	6600	63	6663	19358
CDK12	6592	34	6626	19356
NDUFC2-KCTD14	6556	28	6584	19355
TRIB1	6468	42	6510	19353
DENND3	6399	73	6472	19352
RAPGEFL1	6404	16	6420	19351
PUF60	6324	78	6402	19350
RPS6KB1	6328	68	6396	19349
CLTC	6324	68	6392	19348
ZHX1	6342	39	6381	19347
PCGF2	6312	30	6342	19346
RMDN1	6224	60	6284	19345
GOSR2	5751	525	6276	19344
ANO1	6254	16	6270	19343
GNGT2	6172	78	6250	19342
PTP4A3	6155	65	6220	19341
ENY2	6189	6	6195	19340
ADAM9	6125	61	6186	19339
SNX16	6096	36	6132	19338
RBFOX1	6018	103	6121	19337
GRHL2	6093	18	6111	19335
TM2D2	6045	60	6105	19333.5
INTS4	6069	28	6097	19332
RNF43	5959	108	6067	19331
E2F5	6014	52	6066	19330
PLAT	5940	90	6030	19329
CSHL1	5901	126	6027	19328
KAT7	5940	78	6018	19327
ICAM2	5885	126	6011	19326
PPP6R3	5904	72	5976	19325
TMEM71	5892	51	5943	19324
RBM4	5860	70	5930	19323
WIPF2	5908	16	5924	19322
FZD6	5877	18	5895	19320
PCDH15	5704	182	5886	19318
UBE2V1	5743	72	5815	19314
RAB34	5753	44	5797	19312
CSRP1	5712	0	5712	19308
STK3	5696	3	5699	19307
RPL23	5655	25	5680	19306
MED1	5624	34	5658	19304
TROVE2	5635	21	5656	19303
NDUFAF6	5637	15	5652	19302
ST3GAL1	5598	51	5649	19301
RBM12B	5605	30	5635	19300
FAM222B	5595	36	5631	19299
EFR3A	5568	51	5619	19298
LIMD2	5496	120	5616	19297
GLI4	5535	70	5605	19296
CDH17	5562	30	5592	19295
PAK1	5550	20	5570	19293
CCNE2	5511	27	5538	19292
NME2	5442	90	5532	19291
ADAM18	5453	74	5527	19290
LAPTM4B	5454	3	5457	19289
GSDMA	5422	8	5430	19288
CA10	5360	64	5424	19287
RPL7	5352	40	5392	19286
RARA	5333	25	5358	19284
ZNF707	5270	70	5340	19283
VEGFA	5136	192	5328	19282
ANAPC11	4900	420	5320	19281
GDF6	5316	3	5319	19280
TRIM37	5237	80	5317	19279
NECAB1	5274	32	5306	19278
SYT14	5298	6	5304	19277
SLC1A2	5214	88	5302	19276
SEPT9	4937	352	5289	19275
BPNT1	5270	5	5275	19274
MYO7A	5239	20	5259	19273
CRB1	5239	18	5257	19272
TMEM64	5224	24	5248	19271
VXN	5200	40	5240	19270
TRAF3IP3	5226	6	5232	19268.5
ZMYND8	5120	112	5232	19268.5
MCMDC2	5184	40	5224	19267
FGFR2	4995	195	5190	19266
OSGIN2	5157	24	5181	19265
CACNA1E	5152	24	5176	19264
BPTF	5039	100	5139	19263
ABL2	5110	24	5134	19261
PRR29	4998	108	5106	19259
TRIM55	5056	40	5096	19258
INTS2	4995	100	5095	19257
CAPN5	4988	106	5094	19255.5
MSI2	4991	103	5094	19255.5
MROH1	5025	65	5090	19254
ADGRA2	5016	50	5066	19253
CYHR1	4990	65	5055	19252
TSHZ2	5010	32	5042	19251
DMKN	4928	110	5038	19250
TAC4	4950	65	5015	19249
CTTN	5001	12	5013	19248
TSEN15	4991	21	5012	19247
CTNND1	4800	150	4950	19245
RAB3IP	4845	96	4941	19244
MAP3K3	4805	110	4915	19243
LSM1	4866	48	4914	19241.5
SAMD12	4896	18	4914	19241.5
USP32	4855	51	4906	19240
BAG4	4838	44	4882	19238
AURKA	4800	72	4872	19237
ZFP64	4797	48	4845	19234.5
P2RY6	4752	90	4842	19233
TSNARE1	4708	56	4764	19229
NRG1	4171	587	4758	19228
C11orf80	4704	49	4753	19227
CELF2	4719	30	4749	19226
GOT1L1	4696	50	4746	19225
MRPS28	4713	27	4740	19222.5
RPS3	4671	63	4734	19221
POU5F1B	4704	29	4733	19220
C8orf86	4656	48	4704	19218
IMPA1	4671	27	4698	19216.5
SNTB1	4680	18	4698	19216.5
JRK	4636	56	4692	19214.5
LY6K	4636	56	4692	19214.5
NEU3	4504	182	4686	19213
AKAP1	4551	108	4659	19212
STMN2	4626	30	4656	19211
SPAG9	4578	75	4653	19210
MED30	4634	18	4652	19209
PRKAR1A	4518	126	4644	19208
BEST3	4555	84	4639	19207
PTRH2	4581	51	4632	19206
OPRK1	4580	50	4630	19205
PHACTR3	4574	48	4622	19204
HEY1	4593	27	4620	19203
HEATR6	4557	51	4608	19202
LRTOMT	4436	160	4596	19201
MRPL27	4520	75	4595	19200
CFHR3	4576	12	4588	19199
DEPTOR	4562	18	4580	19198
NME1	4495	75	4570	19197
NFATC2	4515	48	4563	19196
LY6H	4504	56	4560	19194.5
RGS7	4552	8	4560	19194.5
PHB	4504	52	4556	19193
KCNH6	4445	95	4540	19192
LYPLA1	4480	50	4530	19191
KANSL1	4407	120	4527	19190
STX16	4452	60	4512	19189
GOLGA7	4436	72	4508	19188
TOP1MT	4448	56	4504	19187
KAT6A	4391	64	4455	19186
WASHC5	4424	24	4448	19185
SQLE	4418	24	4442	19184
TSC2	4335	105	4440	19183
PEX2	4401	30	4431	19182
EDN3	4350	48	4398	19181
DDX42	4290	100	4390	19180
GDPD5	4328	54	4382	19179
PKIA	4350	30	4380	19177.5
SMIM19	4310	70	4380	19177.5
MROH6	4320	56	4376	19176
UVRAG	4318	50	4368	19175
NFIB	4034	330	4364	19174
ATP5MC1	4290	65	4355	19173
GH2	4260	90	4350	19171.5
VOPP1	4305	45	4350	19171.5
PYCR3	4276	56	4332	19170
GINS4	4252	72	4324	19169
ATAD2	4289	26	4315	19167
TLK2	4231	84	4315	19167
GH1	4215	90	4305	19165
LHX9	4270	15	4285	19164
ANXA13	4254	26	4280	19162.5
FAM91A1	4254	26	4280	19162.5
NPAS3	4134	126	4260	19161
CSH2	4165	90	4255	19160
FBXO32	4208	26	4234	19158
SMG7	4206	18	4224	19155
SIRPB1	4196	15	4211	19153
ADCY8	4174	34	4208	19152
SPOP	4151	52	4203	19151
CRISPLD1	4146	39	4185	19150
MARCH10	4092	84	4176	19149
USP35	4148	21	4169	19148
PMEPA1	4105	50	4155	19145.5
