node1	node2	dirnode1	dirnode2	dir	logFCnode1	logFCnode2	fdrnode1	fdrnode2	pairs
SLC15A1	ACTR3B	down	down	d	-2.21238532512666	-1.15155903329732	0.0440572983838297	0.0351484225684927	SLC15A1|ACTR3B
hsa-miR-9-5p	AR	down	up	o	-5.72599370543455	2.72339611969536	2.72508810090508e-09	0.0299348329075885	hsa-miR-9-5p|AR
hsa-miR-301a-3p	AR	down	up	o	-2.28171426492422	2.72339611969536	0.0412184594228078	0.0299348329075885	hsa-miR-301a-3p|AR
ESR1	AR	up	up	u	3.29464227208324	2.72339611969536	0.0317327574050544	0.0299348329075885	ESR1|AR
SPDEF	AR	up	up	u	2.59760148569975	2.72339611969536	0.00236854816887863	0.0299348329075885	SPDEF|AR
hsa-miR-19a-3p	AR	down	up	o	-2.63315268126631	2.72339611969536	0.0473426452417031	0.0299348329075885	hsa-miR-19a-3p|AR
hsa-miR-454-3p	AR	down	up	o	-2.74070949767429	2.72339611969536	0.0188488302554965	0.0299348329075885	hsa-miR-454-3p|AR
GLUD2	ATL2	up	down	o	1.24907996022684	-1.16173503884544	0.0193389044149801	0.0207334327765823	GLUD2|ATL2
hsa-let-7a-5p	CCND1	down	up	o	-5.23390380821811	3.2903612389967	0.00846459835999488	0.0355144954907223	hsa-let-7a-5p|CCND1
AR	CCND1	up	up	u	2.72339611969536	3.2903612389967	0.0299348329075885	0.0355144954907223	AR|CCND1
hsa-let-7f-5p	CCND1	down	up	o	-3.13550889208112	3.2903612389967	0.00806624862506223	0.0355144954907223	hsa-let-7f-5p|CCND1
ESR1	CCND1	up	up	u	3.29464227208324	3.2903612389967	0.0317327574050544	0.0355144954907223	ESR1|CCND1
hsa-let-7g-5p	CCND1	down	up	o	-2.55417918752821	3.2903612389967	0.0407757610695505	0.0355144954907223	hsa-let-7g-5p|CCND1
hsa-miR-34c-5p	CCND1	down	up	o	-1.63555061547884	3.2903612389967	0.00806624862506223	0.0355144954907223	hsa-miR-34c-5p|CCND1
hsa-miR-19a-3p	CCND1	down	up	o	-2.63315268126631	3.2903612389967	0.0473426452417031	0.0355144954907223	hsa-miR-19a-3p|CCND1
hsa-miR-17-5p	CCND1	down	up	o	-5.98309604192827	3.2903612389967	0.006609502309041	0.0355144954907223	hsa-miR-17-5p|CCND1
hsa-miR-15b-5p	CCND1	down	up	o	-3.25609798307128	3.2903612389967	0.00411177015424443	0.0355144954907223	hsa-miR-15b-5p|CCND1
hsa-miR-98-5p	CCND1	down	up	o	-3.18187693766999	3.2903612389967	0.0196541772577621	0.0355144954907223	hsa-miR-98-5p|CCND1
hsa-miR-23a-3p	CCND1	down	up	o	-1.53546094711834	3.2903612389967	0.0474865945989311	0.0355144954907223	hsa-miR-23a-3p|CCND1
hsa-miR-9-5p	CCNI	down	up	o	-5.72599370543455	1.2611649623461	2.72508810090508e-09	0.0299348329075885	hsa-miR-9-5p|CCNI
