node	dir	logFC	fdr	AbslogFC	Log2IvFdr
hsa-miR-454-3p	down	-2.74070949767429	0.0188488302554965	2.74070949767429	5.7293811960929
hsa-miR-9-5p	down	-5.72599370543455	2.72508810090508e-09	5.72599370543455	28.4510499816438
hsa-miR-301a-3p	down	-2.28171426492422	0.0412184594228078	2.28171426492422	4.60056560592158
SPDEF	up	3.28733954134891	0.000307064804539403	3.28733954134891	11.6691692180215
hsa-miR-19a-3p	down	-2.63315268126631	0.0473426452417031	2.63315268126631	4.40071587173623
hsa-miR-532-3p	down	-2.58505449717745	0.00394681868314723	2.58505449717745	7.9850940413198
EDN3	down	-1.66051080399052	0.040820140719944	1.66051080399052	4.61457503396912
CEACAM6	up	7.7364341695275	0.0238340543198383	7.7364341695275	5.39083180603468
hsa-miR-30d-5p	down	-2.67419588386449	0.0474865945989311	2.67419588386449	4.39633588970379
hsa-miR-141-3p	down	-3.02917308942756	0.0182109352678541	3.02917308942756	5.77905117236684
hsa-miR-452-5p	down	-4.15503388282049	0.0321954305261949	4.15503388282049	4.95700024755285
hsa-miR-17-5p	down	-5.98309604192827	0.006609502309041	5.98309604192827	7.24124264277947
hsa-miR-148a-3p	down	-2.79995119357716	0.0437912425384752	2.79995119357716	4.51321380418457
hsa-miR-34c-5p	down	-1.63555061547884	0.00806624862506223	1.63555061547884	6.95388641020812
hsa-let-7a-5p	down	-5.23390380821811	0.00846459835999488	5.23390380821811	6.88434266991276
hsa-miR-15b-5p	down	-3.25609798307128	0.00411177015424443	3.25609798307128	7.92602466375861
hsa-miR-135a-5p	down	-1.62338720671552	0.0290378779319553	1.62338720671552	5.10592016374505
hsa-let-7f-5p	down	-3.13550889208112	0.00806624862506223	3.13550889208112	6.95388641020812
hsa-miR-135b-5p	down	-5.26203067314419	6.47260283613501e-08	5.26203067314419	23.8810787773816
hsa-miR-23a-3p	down	-1.53546094711834	0.0474865945989311	1.53546094711834	4.39633588970379
hsa-let-7g-5p	down	-2.55417918752821	0.0407757610695505	2.55417918752821	4.61614438503819
hsa-miR-98-5p	down	-3.18187693766999	0.0196541772577621	3.18187693766999	5.66902021731213
hsa-miR-196b-5p	down	-2.88154678384625	0.000381905786596837	2.88154678384625	11.3544955998579
hsa-miR-18a-5p	down	-3.49745874212726	0.00266371028084267	3.49745874212726	8.55234710883
NRG2	down	-1.68408054185368	0.00294652463883557	1.68408054185368	8.40676995460789
AR	up	2.8800148886504	0.040820140719944	2.8800148886504	4.61457503396912
XBP1	up	2.03525050484598	0.0445506264317586	2.03525050484598	4.48841047197505
hsa-miR-132-3p	down	-3.81456091974567	0.00788679121302861	3.81456091974567	6.98634583393568
hsa-miR-129-5p	down	-1.34834701040617	0.0225582480347229	1.34834701040617	5.47020116325098
hsa-miR-138-5p	down	-3.16885116657324	2.80380913478108e-05	3.16885116657324	15.1222523311072
ERBB2	up	3.18541143042022	0.0345815066980337	3.18541143042022	4.85385546196205
IGF2BP3	down	-3.07560446666168	7.2650526931096e-05	3.07560446666168	13.7486672127367
hsa-miR-1271-5p	down	-2.22114657237312	0.0270653488196737	2.22114657237312	5.20740920807094
hsa-miR-224-5p	down	-3.5046404096936	0.0308078781212156	3.5046404096936	5.02055686894947
hsa-miR-29b-3p	down	-2.23179974387619	0.00931540781226713	2.23179974387619	6.74616535544614
hsa-miR-28-5p	down	-2.4440152964052	0.0105016943989857	2.4440152964052	6.57323407104533
hsa-miR-222-3p	down	-2.4221866554013	0.0338137674408271	2.4221866554013	4.88624542330992
hsa-miR-221-3p	down	-2.31433792422341	0.0179303480055631	2.31433792422341	5.80145270039566
SLC6A2	down	-1.56268103661749	0.00322343211513466	1.56268103661749	8.27718668373762
hsa-miR-107	down	-2.49767569302223	0.000381905786596837	2.49767569302223	11.3544955998579
BCAS1	up	4.28792112782155	0.0112072927375873	4.28792112782155	6.4794183706645
CCKBR	down	-1.54358728374971	0.0135480530064864	1.54358728374971	6.20577065330348
CEACAM7	up	3.68276573587315	0.0394539584058233	3.68276573587315	4.66368613704014
CERS6	up	1.56335976845219	0.004351108338573	1.56335976845219	7.84440134556435
CPD	up	2.64188686603262	0.0279142867205005	2.64188686603262	5.16285249763443
FOXA1	up	3.81033957516982	2.64242752247085e-05	3.81033957516982	15.2077765730865
GPR160	up	2.43105437388008	0.0120635174848667	2.43105437388008	6.37320555964565
GRB7	up	3.48135532163623	0.0279142867205005	3.48135532163623	5.16285249763443
IGF2BP2	down	-1.47156621268165	0.0445506264317586	1.47156621268165	4.48841047197505
KIAA1244	up	2.061674613765	0.0446334150486646	2.061674613765	4.48573199364244
KLK5	down	-3.83711215433402	0.0445506264317586	3.83711215433402	4.48841047197505
LASP1	up	2.01598214424389	0.0487171215027125	2.01598214424389	4.35942729701581
NANOS1	up	2.51611221181349	0.040820140719944	2.51611221181349	4.61457503396912
RAB27B	up	2.46239509732406	0.0135480530064864	2.46239509732406	6.20577065330348
SPRED2	up	1.82349720086585	0.00294652463883557	1.82349720086585	8.40676995460789
SRCIN1	up	2.29059562167855	0.0445506264317586	2.29059562167855	4.48841047197505
STX3	up	1.49977861087969	0.0384695213957696	1.49977861087969	4.70014030878186
TP53INP2	up	2.10795182271234	0.0149633028859974	2.10795182271234	6.062427529836
