node1	node2	dirnode1	dirnode2	dir	logFCnode1	logFCnode2	fdrnode1	fdrnode2	pairs
hsa-miR-34c-5p	ALDOA	down	up	o	-1.63555061547884	1.79208646206962	0.00806624862506223	0.0225922318807824	hsa-miR-34c-5p|ALDOA
SPDEF	AR	up	up	u	2.87390141276069	2.61310783188966	0.000918536430473046	0.0458061449697985	SPDEF|AR
hsa-miR-454-3p	AR	down	up	o	-2.74070949767429	2.61310783188966	0.0188488302554965	0.0458061449697985	hsa-miR-454-3p|AR
hsa-miR-9-5p	AR	down	up	o	-5.72599370543455	2.61310783188966	2.72508810090508e-09	0.0458061449697985	hsa-miR-9-5p|AR
ESR1	AR	up	up	u	3.23405422649634	2.61310783188966	0.0433082399828929	0.0458061449697985	ESR1|AR
hsa-miR-301a-3p	AR	down	up	o	-2.28171426492422	2.61310783188966	0.0412184594228078	0.0458061449697985	hsa-miR-301a-3p|AR
hsa-miR-19a-3p	AR	down	up	o	-2.63315268126631	2.61310783188966	0.0473426452417031	0.0458061449697985	hsa-miR-19a-3p|AR
hsa-miR-1271-5p	C1orf210	down	up	o	-2.22114657237312	1.9726101265822	0.0270653488196737	0.0229083394703853	hsa-miR-1271-5p|C1orf210
hsa-let-7f-5p	C6orf211	down	up	o	-3.13550889208112	2.54630858188425	0.00806624862506223	0.0486255936054588	hsa-let-7f-5p|C6orf211
hsa-let-7g-5p	C6orf211	down	up	o	-2.55417918752821	2.54630858188425	0.0407757610695505	0.0486255936054588	hsa-let-7g-5p|C6orf211
hsa-miR-98-5p	C6orf211	down	up	o	-3.18187693766999	2.54630858188425	0.0196541772577621	0.0486255936054588	hsa-miR-98-5p|C6orf211
hsa-let-7a-5p	C6orf211	down	up	o	-5.23390380821811	2.54630858188425	0.00846459835999488	0.0486255936054588	hsa-let-7a-5p|C6orf211
hsa-let-7f-5p	CANT1	down	up	o	-3.13550889208112	2.06385807336049	0.00806624862506223	0.00583539507489799	hsa-let-7f-5p|CANT1
hsa-let-7g-5p	CANT1	down	up	o	-2.55417918752821	2.06385807336049	0.0407757610695505	0.00583539507489799	hsa-let-7g-5p|CANT1
