node1	node2	dirnode1	dirnode2	dir	logFCnode1	logFCnode2	fdrnode1	fdrnode2	pairs
hsa-miR-18a-5p	AMIGO1	up	down	o	2.19821785299196	-1.51220969076669	0.00805009981059313	0.0242895892875149	hsa-miR-18a-5p|AMIGO1
hsa-miR-107	BTRC	up	down	o	1.11288036958944	-1.59184870202351	0.0362000769699347	0.0242895892875149	hsa-miR-107|BTRC
hsa-miR-10a-5p	BTRC	up	down	o	2.16836859373359	-1.59184870202351	0.0202356415015968	0.0242895892875149	hsa-miR-10a-5p|BTRC
hsa-miR-10b-5p	BTRC	up	down	o	2.23199344295539	-1.59184870202351	0.0202356415015968	0.0242895892875149	hsa-miR-10b-5p|BTRC
hsa-miR-301a-3p	CHST1	up	down	o	2.15888894740449	-3.57422251298226	0.00485994671189347	0.0324487984723682	hsa-miR-301a-3p|CHST1
hsa-miR-301b-3p	CHST1	up	down	o	1.16636301178639	-3.57422251298226	0.00805009981059313	0.0324487984723682	hsa-miR-301b-3p|CHST1
hsa-miR-454-3p	CHST1	up	down	o	2.1380909420972	-3.57422251298226	0.00805009981059313	0.0324487984723682	hsa-miR-454-3p|CHST1
hsa-miR-18a-5p	KCND3	up	down	o	2.19821785299196	-2.01727256763807	0.00805009981059313	0.0358812131866373	hsa-miR-18a-5p|KCND3
hsa-miR-18a-5p	SIK3	up	down	o	2.19821785299196	-1.61572508515792	0.00805009981059313	0.0242895892875149	hsa-miR-18a-5p|SIK3
