node1	node2	dirnode1	dirnode2	dir	logFCnode1	logFCnode2	fdrnode1	fdrnode2	pairs
hsa-miR-454-3p	AR	down	up	o	-2.74070949767429	2.8800148886504	0.0188488302554965	0.040820140719944	hsa-miR-454-3p|AR
hsa-miR-9-5p	AR	down	up	o	-5.72599370543455	2.8800148886504	2.72508810090508e-09	0.040820140719944	hsa-miR-9-5p|AR
hsa-miR-301a-3p	AR	down	up	o	-2.28171426492422	2.8800148886504	0.0412184594228078	0.040820140719944	hsa-miR-301a-3p|AR
SPDEF	AR	up	up	u	3.28733954134891	2.8800148886504	0.000307064804539403	0.040820140719944	SPDEF|AR
hsa-miR-19a-3p	AR	down	up	o	-2.63315268126631	2.8800148886504	0.0473426452417031	0.040820140719944	hsa-miR-19a-3p|AR
hsa-miR-532-3p	BCAS1	down	up	o	-2.58505449717745	4.28792112782155	0.00394681868314723	0.0112072927375873	hsa-miR-532-3p|BCAS1
EDN3	CCKBR	down	down	d	-1.66051080399052	-1.54358728374971	0.040820140719944	0.0135480530064864	EDN3|CCKBR
CEACAM6	CEACAM7	up	up	u	7.7364341695275	3.68276573587315	0.0238340543198383	0.0394539584058233	CEACAM6|CEACAM7
hsa-miR-30d-5p	CERS6	down	up	o	-2.67419588386449	1.56335976845219	0.0474865945989311	0.004351108338573	hsa-miR-30d-5p|CERS6
hsa-miR-141-3p	CERS6	down	up	o	-3.02917308942756	1.56335976845219	0.0182109352678541	0.004351108338573	hsa-miR-141-3p|CERS6
hsa-miR-452-5p	CERS6	down	up	o	-4.15503388282049	1.56335976845219	0.0321954305261949	0.004351108338573	hsa-miR-452-5p|CERS6
hsa-miR-17-5p	CERS6	down	up	o	-5.98309604192827	1.56335976845219	0.006609502309041	0.004351108338573	hsa-miR-17-5p|CERS6
hsa-miR-148a-3p	CERS6	down	up	o	-2.79995119357716	1.56335976845219	0.0437912425384752	0.004351108338573	hsa-miR-148a-3p|CERS6
hsa-miR-9-5p	CERS6	down	up	o	-5.72599370543455	1.56335976845219	2.72508810090508e-09	0.004351108338573	hsa-miR-9-5p|CERS6
hsa-miR-34c-5p	CERS6	down	up	o	-1.63555061547884	1.56335976845219	0.00806624862506223	0.004351108338573	hsa-miR-34c-5p|CERS6
