logFC	AveExpr	t	P.Value	adj.P.Val	B	dir
hsa-let-7g-3p	1.52312112502856	-3.45080769230769	4.68577868620237	2.1314574918781e-05	0.0084385957597758	2.64974865443769	up
hsa-miR-342-5p	4.24102799421976	-3.60882692307692	4.58042358763484	3.04642446201292e-05	0.0084385957597758	2.32608714894261	up
hsa-miR-32-5p	2.92363205600458	-4.76944230769231	4.36786114716734	6.20877000245476e-05	0.0114655286045331	1.68165724232278	up
hsa-let-7f-1-3p	2.8412811666845	-4.66969230769231	4.26074102643053	8.84664262930443e-05	0.0122526000415866	1.36166418437934	up
hsa-miR-518e-3p	3.48012895157855	1.88998076923077	4.16300339826938	0.000121839151006824	0.0134997779315561	1.07273062777283	up
hsa-miR-628-3p	2.5874355864717	-2.82740384615385	3.94107909644741	0.000249160512282138	0.0191707739768991	0.428335472287625	up
hsa-miR-29b-2-5p	3.051809080648	-2.28340384615385	3.8680914716399	0.000314095808925526	0.0191707739768991	0.220204272724605	up
hsa-miR-342-3p	2.16224468317726	5.43792307692308	3.83202537159445	0.000351930081059667	0.0191707739768991	0.118094054520084	up
hsa-miR-922	1.60667602198154	-3.75557692307692	3.80706248501913	0.000380647136725434	0.0191707739768991	0.0477107448260803	up
hsa-miR-15a-3p	2.11292717517428	-2.86226923076923	3.65260601826543	0.000615203574816217	0.028401898370682	-0.38228519408721	up
hsa-miR-190b	2.54022870535845	2.93253846153846	3.54117819660754	0.000864733238163732	0.0368509395340544	-0.686333029109734	up
hsa-miR-16-1-3p	2.73092023517125	-1.36328846153846	3.47062709404883	0.00106990276230233	0.0419740531976276	-0.876029964864239	up
hsa-miR-1201	3.00539319832561	-1.43317307692308	3.42890293674888	0.0012122470237582	0.0419740531976276	-0.987155986342674	up
