logFC	AveExpr	t	P.Value	adj.P.Val	B	dir
hsa-miR-9-5p	-5.72599370543455	-2.98899029126214	-7.82337690492642	4.91893159008138e-12	2.72508810090508e-09	16.8313939180856	down
hsa-miR-135b-5p	-5.26203067314419	-3.98392233009709	-7.03567931636427	2.33667972423647e-10	6.47260283613501e-08	13.2135975564044	down
hsa-miR-1269a	-2.87105332259	-1.87628155339806	-6.88369199195706	4.85463312763068e-10	8.96488917569133e-08	12.528285185757	down
hsa-miR-100-3p	-1.81061967149453	-3.88447572815534	-5.62865324206284	1.6052250983402e-07	2.13766979939973e-05	7.09808720245844	down
hsa-miR-29a-5p	-3.03545720422444	-1.29077669902913	-5.58698132640495	1.92930487310445e-07	2.13766979939973e-05	6.92636613126463	down
hsa-miR-135b-3p	-2.40640516513867	-2.60560194174757	-5.48477351276101	3.02048130240853e-07	2.78891106922388e-05	6.50796435207918	down
hsa-miR-138-5p	-3.16885116657324	-3.9348932038835	-5.44818730391701	3.5427191233696e-07	2.80380913478108e-05	6.35917229881835	down
hsa-miR-106b-3p	-3.51279661260914	-0.617213592233009	-5.22124758792025	9.41340333450626e-07	6.51878180914559e-05	5.44825349157211	down
hsa-miR-577	-3.22862148617192	-3.78968932038835	-4.8988272618386	3.6337745952786e-06	0.000223679013976039	4.19206634833375	down
hsa-miR-196b-5p	-2.88154678384625	-3.50225242718447	-4.71607883875016	7.65068788737352e-06	0.000381905786596837	3.50143234124625	down
hsa-miR-18a-3p	-3.05755874077083	-3.24573786407767	-4.70422833582534	8.02469131863972e-06	0.000381905786596837	3.45720964675019	down
hsa-miR-107	-2.49767569302223	-3.3601067961165	-4.6966731317779	8.27232750751272e-06	0.000381905786596837	3.42905222837034	down
hsa-miR-31-5p	-4.33561011382054	-1.14890291262136	-4.66588642920251	9.36027209109962e-06	0.000398891595266861	3.31460841533758	down
hsa-miR-24-2-5p	-3.11836663817466	-2.22349514563107	-4.44405106288045	2.24829933774399e-05	0.000889684166507266	2.50432502338445	down
hsa-miR-455-3p	-3.61447772605012	-5.27256310679612	-4.4020565782511	2.64644371327812e-05	0.000977419878104052	2.35384974607778	down
hsa-miR-1244	-3.31313732991649	-1.17321359223301	-4.32994478150449	3.49390256718883e-05	0.00120976376388913	2.09768940511894	down
hsa-miR-93-3p	-2.57228048557575	-1.54443689320388	-4.26179746123084	4.53122142828399e-05	0.00143586560127366	1.85824651566235	down
hsa-miR-181a-2-3p	-2.38010390001343	-0.474961165048544	-4.22855776605373	5.13912058683401e-05	0.00143586560127366	1.74239835014543	down
hsa-miR-222-5p	-1.79909125628274	-3.10967961165049	-4.22655929030334	5.17806609895299e-05	0.00143586560127366	1.73545307433422	down
hsa-miR-31-3p	-4.23065246208706	-1.77418446601942	-4.22627494441357	5.18363032950779e-05	0.00143586560127366	1.73446507472558	down
