logFC	AveExpr	t	P.Value	adj.P.Val	B	dir
hsa-miR-142-3p	6.1079028508958	-2.28715533980582	7.92913911733738	3.22871667579407e-12	1.78870903838991e-09	17.3060877356641	up
hsa-miR-29a-5p	3.08668511244385	-1.29077669902913	6.49664941548921	3.23010742060075e-09	8.37346616406585e-07	10.785980334849	up
hsa-miR-9-5p	4.57093813550431	-2.98899029126214	6.42387362269643	4.53436795888043e-09	8.37346616406585e-07	10.4660999783249	up
hsa-miR-138-5p	2.98802021256957	-3.9348932038835	5.70439637191404	1.19205301711777e-07	1.65099342870811e-05	7.38697693319555	up
hsa-miR-361-3p	2.51308449673605	-0.705262135922329	5.21117248616409	1.0110340165044e-06	0.000112022569028687	5.37986683067608	up
hsa-miR-129-5p	1.90077707356868	-5.03760194174757	5.1615454550152	1.24699638225254e-06	0.000115139332627985	5.18334256321356	up
hsa-miR-20a-3p	2.86235265932118	-3.91929126213592	5.03510355691776	2.11796032169906e-06	0.000167621431174468	4.68745758062364	up
hsa-miR-340-3p	3.01694094036637	-1.3267281553398	4.66225115413791	9.68654522854652e-06	0.000596260672957197	3.26797568625401	up
hsa-miR-1201	2.78981527970295	-2.59334951456311	4.63538361606401	1.07807162739892e-05	0.000597251681579001	3.16829167289019	up
rno-miR-7*	3.47840797744652	-0.918660194174759	4.52149642430951	1.69023228590745e-05	0.000712955832322966	2.74983088711437	up
hsa-miR-141-3p	3.66532869674289	-1.49420388349515	4.5049014225456	1.80371992694165e-05	0.000712955832322966	2.68941503250405	up
hsa-miR-135b-5p	3.32970992591527	-3.98392233009709	4.50342945559136	1.81413465845832e-05	0.000712955832322966	2.68406314323158	up
hsa-miR-223-5p	2.15280772390618	-2.39059223300971	4.43029921700369	2.41152281200323e-05	0.000834989773656119	2.41961094917624	up
hsa-miR-455-3p	3.22437773757454	-5.27256310679612	4.35698756309806	3.19901872196016e-05	0.000924892232328674	2.15737566689695	up
hsa-miR-577	2.6004185153339	-3.78968932038835	4.24474431488602	4.90377133958713e-05	0.00118116927049186	1.76158726882777	up
hsa-miR-142-5p	2.78827172035586	-5.89957281553398	4.21181984444255	5.5512426704543e-05	0.0012814118497632	1.64682482997547	up
hsa-miR-543	1.05514941334932	-3.81885436893204	4.182716885985	6.19135165110045e-05	0.00131923415950371	1.54589456678646	up
hsa-miR-15b-5p	3.13670575623573	-1.07320388349514	4.13692582464973	7.34428203182286e-05	0.00141149414016158	1.38807065698331	up
hsa-miR-590-5p	2.97966746512622	-3.06088349514563	4.13530372035109	7.3886877373079e-05	0.00141149414016158	1.38250204931051	up
hsa-miR-10b-5p	3.65736041001976	-0.946456310679614	4.04981955968659	0.000101305127170586	0.00181142647895539	1.09120794953435	up
mmu-miR-374-5p	3.83467674594038	-2.17701941747573	3.98505968238028	0.000128314255775452	0.00211343799280256	0.873403852506341	up
hsa-miR-664a-3p	4.48378319940091	-0.994611650485437	3.98208888063638	0.000129705580785717	0.00211343799280256	0.863472397469912	up
