logFC	AveExpr	t	P.Value	adj.P.Val	B	dir
hsa-miR-618	-2.74876112612461	17.0903653846154	-10.6581791182011	3.39450071694257e-14	1.88055339718619e-12	22.1196156010891	down
hsa-miR-523-3p	-2.79765053930744	15.0654038461538	-9.73131342309118	6.76891221827655e-13	2.67855526351801e-11	19.21357899794	down
hsa-miR-483-5p	-3.69727373332448	3.06307692307692	-9.34729645188948	2.41087718802000e-12	6.36012362934801e-11	17.97742204619	down
hsa-miR-520f-3p	-9.48008780325755	5.43836538461538	-9.25772076553698	3.25016926551548e-12	8.18451715043443e-11	17.6865219059026	down
hsa-miR-136-5p	-2.31365745924243	0.115153846153846	-7.08547627591054	5.70893304677587e-09	6.20146844688987e-08	10.3972626706361	down
hsa-miR-518b	-2.17589453975297	17.7176153846154	-6.94334318882445	9.40503844717577e-09	1.00199832687219e-07	9.91005402545887	down
hsa-miR-638	-2.11284255371049	3.40090384615385	-6.78690414960454	1.63007246208051e-08	1.55700024826311e-07	9.37343662257547	down
hsa-miR-1298-5p	-1.83141455137539	3.30303846153846	-5.96496632062964	2.9253269822651e-07	2.07773224124983e-06	6.55977032508335	down
hsa-miR-519b-3p	-2.80198354080329	-2.07613461538461	-5.88451412713565	3.87591414424347e-07	2.65093387149492e-06	6.28605515094547	down
hsa-miR-874-3p	-3.07943687719574	1.06576923076923	-5.50886162201938	1.4328235582307e-06	8.81982501399786e-06	5.01583126460974	down
hsa-miR-103a-3p	-3.35069678149035	12.0983461538462	-5.36223657062879	2.37810977550808e-06	1.34436001595048e-05	4.52445391732749	down
hsa-miR-422a	-2.35136308496232	-0.989730769230769	-5.03654154572747	7.2562255930838e-06	3.79240469676267e-05	3.44466127496066	down
hsa-miR-494-3p	-2.33786094593974	0.119596153846154	-4.90299768009445	1.14107612541747e-05	5.62113054088687e-05	3.00744824293269	down
hsa-miR-411-5p	-14.4051772797088	11.2208653846154	-4.86906118924683	1.27955782466399e-05	6.11099167986078e-05	2.89692418361418	down
hsa-miR-516b-3p	-3.42597190409261	0.811173076923077	-4.41129138974367	5.86261708759243e-05	0.000247930524162306	1.43280500115587	down
hsa-miR-545-3p	-10.0853859479411	3.16155769230769	-4.14409607125874	0.000139240489902389	0.000531994699351195	0.60534149713529	down
hsa-miR-202-3p	-2.35061890359631	-3.30298076923077	-4.03398183228971	0.000197704285882279	0.000733624510390954	0.271176940108941	down
hsa-miR-561-3p	-5.68625633041297	7.0825	-4.01909833510093	0.00020723892462817	0.000760333538039776	0.226338863481127	down
hsa-miR-551b-5p	-4.58388549045983	-0.607730769230769	-3.98564420584524	0.00023032379264937	0.000813913793206972	0.125848907513605	down
hsa-miR-659-3p	-4.29132756367924	0.350288461538461	-3.98518429206882	0.000230657880024358	0.000813913793206972	0.124470273158477	down
hsa-miR-423-5p	-1.59599216581548	2.67857692307692	-3.8204507725913	0.000385924320644508	0.00128025193794645	-0.364168556011101	down
hsa-miR-623	-2.61826121018326	-2.00248076923077	-3.78819236697144	0.000426389610375871	0.00140607050088234	-0.458607659490643	down
hsa-miR-369-3p	-2.16943254231645	-4.97667307692308	-3.77868806146665	0.000439071417218506	0.00143366920293941	-0.486351703214185	down
hsa-miR-875-5p	-5.1476175612084	1.35582692307692	-3.60409214935377	0.000747867349843905	0.00236753435322013	-0.989257476935721	down
hsa-miR-483-3p	-2.87466565073884	-1.71246153846154	-3.56306404621212	0.0008461591067296	0.0026484301984644	-1.10550778978633	down
hsa-miR-524-3p	-1.47068469688775	2.60425	-3.51408196700119	0.000979718015053133	0.00304923472100806	-1.2432951248465	down
hsa-miR-376a-3p	-1.6130334639498	-1.17044230769231	-3.41098703401043	0.00132951920906337	0.00398137103687086	-1.52964234585516	down
hsa-miR-542-5p	-6.34894396102735	1.57403846153846	-3.29457972303499	0.00186675330975317	0.00536837950369884	-1.84676103635984	down
hsa-miR-587	-2.5539938456595	-0.719807692307692	-3.28516753431995	0.00191819754559017	0.0054777393827678	-1.87210486245346	down
hsa-miR-605-5p	-1.72973697797206	-2.18592307692308	-3.22059467241769	0.00230904300612541	0.00646065568380545	-2.04474739334134	down
hsa-miR-141-5p	-4.50517134766773	0.519076923076923	-3.21396000307756	0.00235321266316189	0.00655115485121451	-2.06236289338993	down
hsa-miR-146a-5p	-1.16595538914752	5.50546153846154	-3.07374067731104	0.00349558875584219	0.00945756173771955	-2.42913878734324	down
hsa-miR-939-5p	-2.22692763068517	1.66873076923077	-3.02224233030698	0.00403298941726354	0.0107417121979039	-2.56112996816972	down
hsa-miR-596	-2.12788606994192	4.48292307692308	-2.94100763160777	0.00504026294835814	0.0129273410805112	-2.76626601819759	down
hsa-miR-519e-3p	-5.68786831391247	2.64436538461538	-2.8680317301043	0.0061406412061225	0.0155338594894606	-2.94725958395233	down
hsa-miR-346	-2.42229222689031	-3.49661538461538	-2.85589364019252	0.00634401160534593	0.0159030879156636	-2.977056319162	down
hsa-miR-299-5p	-1.83699644938534	6.10021153846154	-2.85236900740317	0.00640422700717407	0.0159817196485335	-2.98569200081873	down
hsa-miR-597-5p	-1.0036871787794	-0.492230769230769	-2.83929156145003	0.00663230983802271	0.0164766800460295	-3.01766734133209	down
hsa-miR-584-5p	-5.94377586527092	0.941769230769231	-2.7465635557527	0.00847844730252265	0.0202459474379205	-3.24138992537536	down
hsa-miR-566	-1.04593766900866	4.21875	-2.73158006472303	0.00881787847492783	0.0208765157055984	-3.27703901378946	down
hsa-miR-1262	-1.63079114358985	-0.0930961538461542	-2.56859135107411	0.0134084042148569	0.0305689544651469	-3.65553551068831	down
hsa-miR-184	-2.81909412359778	-0.997557692307693	-2.51629522999305	0.0152902458247202	0.0344341308410366	-3.77328040327948	down
hsa-miR-674	-2.17196135798775	2.62655769230769	-2.4790821469197	0.0167721282517636	0.0373163014115545	-3.85594161239517	down
hsa-miR-206	-1.14122601649526	-0.158096153846154	-2.38756446994448	0.0209846034937793	0.0448859858515588	-4.05517773729434	down
