logFC	AveExpr	t	P.Value	adj.P.Val	B	dir
hsa-miR-301a-3p	2.15888894740449	-1.30052475247525	4.27428579826148	4.38623349448869e-05	0.00485994671189347	1.91536332497902	up
hsa-miR-301b-3p	1.16636301178639	-5.69792079207921	4.05653835964146	9.88575863017655e-05	0.00805009981059313	1.17625095957837	up
hsa-miR-181a-3p	2.01888551749982	-1.25459405940594	4.03650246956216	0.000106391965313778	0.00805009981059313	1.10959361156509	up
hsa-miR-18a-5p	2.19821785299196	-4.78865346534654	3.98659507659329	0.000127624861723331	0.00805009981059313	0.944571693481667	up
hsa-miR-454-3p	2.1380909420972	-1.34711881188119	3.97987187732809	0.000130777794756928	0.00805009981059313	0.922452420100657	up
hsa-miR-941	1.35917352509991	-2.91075247524752	3.71612562872705	0.000333628277682888	0.0132021475597371	0.0761597476183669	up
hsa-miR-1269a	1.0415586202416	-1.91792079207921	3.68530576642161	0.000371205447540383	0.0137098545291581	-0.0199392230889535	up
hsa-miR-10a-5p	2.16836859373359	-1.6110099009901	3.52469302054947	0.000641297395240524	0.0202356415015968	-0.510942296728689	up
hsa-miR-1244	1.75715618630454	-1.22353465346534	3.51120891033934	0.000670928356162979	0.0202356415015968	-0.551404132219989	up
hsa-miR-10b-5p	2.23199344295539	-1.0060693069307	3.46831130148609	0.000774018930891947	0.0202356415015968	-0.679331671617112	up
hsa-miR-24-2-5p	1.54330875272079	-2.26846534653465	3.42866718419671	0.000882403502054352	0.0212544147886135	-0.796472971347885	up
hsa-miR-1201	1.44296724225428	-2.63012871287129	3.29349046716476	0.00136908306322459	0.025391972852573	-1.1879468095355	up
hsa-miR-107	1.11288036958944	-3.38749504950495	3.1040508892835	0.00248303777050094	0.0362000769699347	-1.71535351448104	up
hsa-miR-1254	1.42031783539066	-1.60258415841584	3.04669185906412	0.00295939969565394	0.0409876857848071	-1.87003399369281	up
hsa-miR-539-5p	2.27813904107168	-4.70070297029703	2.98400898067253	0.00357587886483417	0.0450235657072302	-2.03635525509775	up
