logFC	AveExpr	t	P.Value	adj.P.Val	B	dir
hsa-miR-628-3p	-3.52691466538804	-2.82740384615385	-5.16529264983722	4.06926792053847e-06	0.00225437442797831	4.15830903584006	down
hsa-miR-25-5p	-3.90298552709794	-2.83313461538462	-4.74673034351757	1.73148279760906e-05	0.0047962073493771	2.84088687903136	down
hsa-let-7f-1-3p	-2.97903575762312	-4.66969230769231	-4.29537433354368	7.8926056976404e-05	0.0114005880680968	1.46432068898275	down
hsa-miR-518e-3p	-3.72344162004786	1.88998076923077	-4.28262801986831	8.23147152931178e-05	0.0114005880680968	1.42625440394498	down
hsa-miR-140-3p	-2.34684857122211	-3.12834615384615	-4.18368202117429	0.000113889311062859	0.0126189356657648	1.1324477977225	down
hsa-miR-502-3p	-1.51574813152317	-4.31096153846154	-4.05241007550484	0.000174383129136428	0.0149583284252296	0.747500341229427	down
hsa-miR-138-5p	-2.92233404152684	-3.16909615384615	-4.01019974836304	0.00019974580016296	0.0149583284252296	0.624956529138077	down
hsa-let-7g-3p	-1.34744979670608	-3.45080769230769	-3.98578896486133	0.000216004742602593	0.0149583284252296	0.554372247198089	down
hsa-miR-590-5p	-2.75842086587589	-2.09986538461538	-3.86362649627971	0.000318557850642712	0.0196090054728958	0.204374923512956	down
hsa-miR-432-3p	-3.02646333046038	-2.48515384615385	-3.75081588095661	0.000453846954491931	0.0237462566182023	-0.113816298761635	down
hsa-miR-98-5p	-3.81843081357247	-1.56113461538462	-3.73856479958175	0.000471496070036507	0.0237462566182023	-0.148069473690333	down
hsa-miR-628-5p	-1.78596171407783	-2.73436538461538	-3.65719429982709	0.000606573543106345	0.0253323407647802	-0.374023014663313	down
hsa-miR-186-3p	-2.11532007576779	-1.84657692307693	-3.60964628236994	0.00070191766566416	0.0253323407647802	-0.504778760817977	down
hsa-miR-15a-3p	-2.16628712349701	-2.86226923076923	-3.60071457030963	0.000721359713730458	0.0253323407647802	-0.52923325920977	down
hsa-miR-922	-1.57839208205633	-3.75557692307692	-3.59609339581727	0.000731619949885349	0.0253323407647802	-0.54187229192623	down
hsa-miR-16-1-3p	-2.90486265562764	-1.36328846153846	-3.5495959245498	0.0008429257359542	0.026592042397276	-0.668528160286831	down
hsa-miR-1201	-3.2282990074065	-1.43317307692308	-3.54145739292451	0.000864001377528822	0.026592042397276	-0.690599555819597	down
hsa-miR-590-3p	-2.44172986752873	-1.12355769230769	-3.51104602184441	0.000947293342500205	0.0276210795655323	-0.772813937354359	down
hsa-miR-26a-1-3p	-1.82548652380221	-1.19630769230769	-3.46100672108985	0.00110123769438215	0.0305042841343856	-0.907185428984763	down
hsa-miR-629-5p	-2.56252265679796	-0.944472194870428	-3.42070009277692	0.00124227341898092	0.0327723559102586	-1.01458793834681	down
hsa-miR-222-5p	-2.20638013270761	-2.59155769230769	-3.38426642942638	0.00138438986653582	0.0348614539118566	-1.11101835058382	down
hsa-miR-664a-3p	-5.49612273153893	1.20688461538462	-3.35056715418258	0.00152947009165907	0.0368402795990925	-1.1996515043905	down
hsa-miR-374a-5p	-1.79502815296252	0.383865384615385	-3.2912660931231	0.00182039094175276	0.0403398632692411	-1.35428927520492	down
mmu-miR-379	-2.27630791542301	-3.58919230769231	-3.27506675699384	0.00190853960512269	0.0406665746629989	-1.39623207497038	down
hsa-miR-203a-3p	-2.14777722222006	1.65984615384615	-3.19278661990667	0.0024220812356041	0.0464693067588059	-1.60723934759205	down
hsa-miR-29c-3p	-1.39478636048278	1.90426923076923	-3.19052528482352	0.0024378852235445	0.0464693067588059	-1.61298998578177	down
hsa-miR-126-3p	-2.47068760826198	2.46265384615385	-3.18107653848345	0.00250497756677508	0.0464693067588059	-1.63698995374438	down
hsa-let-7b-3p	-2.91003279047808	-1.82509615384615	-3.16507565453098	0.00262257580287314	0.0464693067588059	-1.67752733405895	down
hsa-miR-450b-5p	-1.26010163270687	-5.55030769230769	-3.15743694613903	0.00268053098952534	0.0464693067588059	-1.6968327701784	down
hsa-miR-1248	-3.19627355836683	-0.882961538461539	-3.1569654195022	0.00268414768281911	0.0464693067588059	-1.69802347262378	down
hsa-miR-433-3p	-1.75939493981049	-5.20228846153846	-3.12149401820122	0.00296976996382019	0.0498561381804966	-1.78726255428959	down
