logFC	AveExpr	t	P.Value	adj.P.Val	B	dir
hsa-miR-1243	-1.37550392813997	21.727786407767	-8.01430084393991	1.80154511971089e-12	1.2024771039998e-11	17.8730584264876	down
hsa-miR-542-5p	-9.20236920813723	6.46623300970874	-7.53508053424651	1.95590613479094e-11	1.11708453471565e-10	15.5263389703791	down
hsa-miR-518b	-2.0351233375071	18.9652330097087	-6.68693427568015	1.20274247506117e-09	5.37354299341846e-09	11.4827172075311	down
hsa-miR-618	-1.80393184346912	18.2374077669903	-6.10612741300134	1.82459879607013e-08	6.43839320396721e-08	8.8225220149512	down
hsa-miR-33a-5p	-1.32399761975088	1.41421359223301	-5.52587972045077	2.48046371312851e-07	7.34853955654116e-07	6.27992157193158	down
hsa-miR-363-3p	-4.45898726448539	6.04761165048544	-5.2947122094645	6.774447434779e-07	1.8487900881121e-06	5.30457689613602	down
hsa-miR-103a-3p	-2.11987338627682	13.3382524271845	-4.24797042206995	4.74122861337403e-05	0.00010548757637788	1.21319056388365	down
hsa-miR-523-3p	-1.37191730097741	15.9990485436893	-4.06040752578463	9.56613468136467e-05	0.000209471881955574	0.544363998863641	down
hsa-miR-15a-5p	-5.32594599883782	4.73064077669903	-3.89666666345145	0.000173670755563825	0.000364445449175602	-0.0216055015206802	down
hsa-miR-136-5p	-1.08181660332166	0.936029126213592	-3.79082604090085	0.0002532085342975	0.000519546400003018	-0.378244732704166	down
hsa-miR-1179	-1.51519057886419	18.2135825242718	-3.3685753868007	0.00106374437234773	0.0020044706880294	-1.72548007944287	down
hsa-miR-545-3p	-5.22598452082205	7.11859223300971	-3.17533408354491	0.00197438597075356	0.00355133060973205	-2.29970190144192	down
hsa-miR-515-3p	-1.37871382512431	-4.53981553398058	-3.14883528838352	0.00214494955099513	0.0038090996051916	-2.3762843818263	down
hsa-miR-561-3p	-2.69179420346563	8.82104854368932	-2.99947640994788	0.00339117870774746	0.0058526884862682	-2.79797578341443	down
hsa-miR-520c-3p	-4.72761946826138	12.0389708737864	-2.43836162181502	0.0164648655708766	0.0258400439837553	-4.22455358024547	down
hsa-miR-1262	-1.02056754929917	0.526611650485437	-2.30764095556905	0.0230182217958421	0.035226781422366	-4.51953037124135	down
hsa-miR-323a-3p	-1.04487401788681	-3.01645631067961	-2.29472703137589	0.0237763736557858	0.0362868071771497	-4.54787845655877	down
hsa-miR-299-5p	-1.19757102029772	6.93384466019417	-2.2865848643465	0.0242656049185498	0.0367288632513583	-4.56567801656371	down
