logFC	AveExpr	t	P.Value	adj.P.Val	B	dir
hsa-miR-1254	4.62828135974809	-0.31903846153846	14.8186581320444	1.90485127445125e-19	8.42790169517066e-17	33.7164381887632	up
hsa-miR-17-5p	7.72607561490113	-0.0581538461538468	14.642570924072	3.04256378887027e-19	8.42790169517066e-17	33.2729238606698	up
hsa-miR-15b-5p	4.97247406727533	0.413653846153847	13.3418088553118	1.08547561166175e-17	2.00451162953537e-15	29.8705344704824	up
hsa-miR-1244	4.87488131079841	0.283269230769231	12.9679692631721	3.15156389126008e-17	4.36491598939521e-15	28.8505872516856	up
rno-miR-7*	5.47358606960726	0.81628846153846	12.6066044670696	8.9799885855463e-17	9.16447576772138e-15	27.8464243176742	up
mmu-miR-374-5p	5.61888284664207	-0.560076923076923	12.5723562578443	9.92542501919283e-17	9.16447576772138e-15	27.7503188516267	up
hsa-miR-454-3p	4.50005439382554	0.271442307692308	12.1542716895176	3.40966190654492e-16	2.69850385175126e-14	26.5639823795925	up
hsa-miR-20b-5p	4.44689665014361	0.0800961538461537	11.2801902629265	4.84010260058955e-15	3.35177105090826e-13	24.0050680824881	up
mmu-miR-495	4.72636134371441	-1.19005769230769	10.7437802197444	2.58872507432678e-14	1.59350410130782e-12	22.3822360871118	up
hsa-miR-22-5p	4.35932885968678	1.08082692307692	10.1964041470546	1.48788624269869e-13	7.49353616777341e-12	20.6858989526035	up
hsa-let-7a-5p	6.85277046416897	1.40132692307692	9.94351203577491	3.3800022341513e-13	1.56043436476651e-11	19.8887788686087	up
hsa-miR-106a-5p	4.34717349894865	3.85042307692308	9.89883703026817	3.91038386401303e-13	1.66642512358709e-11	19.7471027272329	up
hsa-miR-20a-5p	5.37388813738188	1.80271153846154	9.68248742587715	7.94778006303387e-13	2.90774795958271e-11	19.057413957061	up
hsa-miR-340-5p	3.16852799292164	-2.599	9.66575642082796	8.39782804211613e-13	2.90774795958271e-11	19.0038330661623	up
hsa-miR-340-3p	3.39629385903468	-0.235423076923076	9.57391078355275	1.13693844572582e-12	3.70508175842413e-11	18.7090801452329	up
hsa-miR-141-3p	4.72425713134631	0.755326923076923	9.55175481136382	1.22331860518392e-12	3.76510281817717e-11	18.6378211117812	up
hsa-miR-664a-3p	7.32720480227835	1.20688461538462	9.41278668134232	1.93898599951528e-12	5.65367496700771e-11	18.1895026055637	up
hsa-miR-18a-5p	5.20380312632682	-3.34996153846154	9.39665926600005	2.04574310042585e-12	5.66670838817961e-11	18.137323825386	up
hsa-let-7f-5p	4.68996034309944	-0.994173076923077	9.23597419693489	3.49510078188887e-12	8.41863405724535e-11	17.6157573247218	up
hsa-miR-30b-5p	3.20598900692799	4.64117307692308	9.20623063701902	3.86058938619876e-12	8.91152716647548e-11	17.5188811098595	up
hsa-miR-30c-5p	3.44941232364504	4.80963461538462	9.15334221273658	4.6085359589839e-12	1.02125156851083e-10	17.3463687575893	up
hsa-miR-16-5p	4.82426185666549	2.41975	9.11885565638727	5.17349542781433e-12	1.10235248731121e-10	17.2337073694256	up
hsa-miR-140-3p	2.47601012769586	-3.12834615384615	9.02764513557783	7.02874974467124e-12	1.44219531798069e-10	16.9350903726194	up
hsa-miR-26b-5p	4.91580206477167	0.11125	8.86904093011481	1.20011665804821e-11	2.37451653056682e-10	16.4136356530719	up
hsa-miR-26a-5p	3.46962061718514	3.27992307692308	8.73741942902257	1.87454086296316e-11	3.58101944166065e-10	15.9788408191924	up
mmu-miR-140	2.70852894366651	0.982942307692307	8.66743198235458	2.37784103959162e-11	4.39107978644586e-10	15.7469115219929	up
hsa-miR-126-3p	3.38031198397657	2.46265384615385	8.57727700150896	3.23250880057682e-11	5.77680605006309e-10	15.4474188315907	up
hsa-miR-10b-5p	4.65112750951584	0.70626923076923	8.45742298724303	4.86794821069151e-11	8.42763533975967e-10	15.0480297333423	up
hsa-miR-130a-3p	4.81665550802557	-1.54584615384615	8.3508663326678	7.01303662765653e-11	1.17734008840052e-09	14.69180829409	up
hsa-miR-28-5p	2.53178070009539	-0.338673076923077	8.26611302396568	9.38283152795561e-11	1.52884960779041e-09	14.4077373884119	up
hsa-miR-1271-5p	2.87470800440553	-1.91873076923077	8.13861763988829	1.45552782368294e-10	2.30389261234386e-09	13.9792274094132	up
hsa-miR-720	4.990899769868	12.2362692307692	8.12375204628944	1.53211688481722e-10	2.35775765052427e-09	13.929175327677	up
hsa-miR-10a-5p	4.98348360781001	-0.00475000000000033	8.09414990565436	1.69693150456393e-10	2.54081095548221e-09	13.8294517941701	up
hsa-miR-222-3p	2.32216649244537	4.91801923076923	8.05869934388914	1.91797540645225e-10	2.79620625045934e-09	13.709933036412	up
hsa-miR-629-5p	3.17407831699475	-0.944472194870428	8.04325902226077	2.02310371249024e-10	2.87384476081947e-09	13.657845940271	up
hsa-miR-183-3p	4.89128457766456	1.69753846153846	7.98887487460787	2.44179638630932e-10	3.3818879950384e-09	13.4742356447262	up
hsa-miR-24-2-5p	4.2080168694837	-1.0375	7.74031472703262	5.78451173780389e-10	7.81614512864233e-09	12.6322920580556	up
